,code,date,ma5,ma10,ma20,ma30,ma60
0,000026.SZ,20000817,,,,,
1,000026.SZ,20000818,,,,,
2,000026.SZ,20000821,,,,,
3,000026.SZ,20000822,,,,,
4,000026.SZ,20000823,,,,,
5,000026.SZ,20000824,,,,,
6,000026.SZ,20000825,,,,,
7,000026.SZ,20000828,,,,,
8,000026.SZ,20000829,,,,,
9,000026.SZ,20000830,,,,,
10,000026.SZ,20000831,,,,,
11,000026.SZ,20000901,,,,,
12,000026.SZ,20000904,,,,,
13,000026.SZ,20000905,,,,,
14,000026.SZ,20000906,,,,,
15,000026.SZ,20000907,,,,,
16,000026.SZ,20000908,,,,,
17,000026.SZ,20000911,,,,,
18,000026.SZ,20000912,,,,,
19,000026.SZ,20000913,,,,,
20,000026.SZ,20000914,,,,,
21,000026.SZ,20000915,,,,,
22,000026.SZ,20000918,,,,,
23,000026.SZ,20000919,,,,,
24,000026.SZ,20000920,,,,,
25,000026.SZ,20000921,,,,,
26,000026.SZ,20000922,,,,,
27,000026.SZ,20000925,,,,,
28,000026.SZ,20000926,,,,,
29,000026.SZ,20000927,,,,,
30,000026.SZ,20000928,,,,,
31,000026.SZ,20000929,,,,,
32,000026.SZ,20001009,,,,,
33,000026.SZ,20001010,,,,,
34,000026.SZ,20001011,,,,,
35,000026.SZ,20001012,,,,,
36,000026.SZ,20001013,,,,,
37,000026.SZ,20001016,,,,,
38,000026.SZ,20001017,,,,,
39,000026.SZ,20001018,,,,,
40,000026.SZ,20001019,,,,,
41,000026.SZ,20001020,,,,,
42,000026.SZ,20001023,,,,,
43,000026.SZ,20001024,,,,,
44,000026.SZ,20001025,,,,,
45,000026.SZ,20001026,,,,,
46,000026.SZ,20001027,,,,,
47,000026.SZ,20001030,,,,,
48,000026.SZ,20001031,,,,,
49,000026.SZ,20001101,,,,,
50,000026.SZ,20001102,,,,,
51,000026.SZ,20001103,,,,,
52,000026.SZ,20001106,,,,,
53,000026.SZ,20001107,,,,,
54,000026.SZ,20001108,,,,,
55,000026.SZ,20001109,,,,,
56,000026.SZ,20001110,,,,,
57,000026.SZ,20001113,,,,,
58,000026.SZ,20001114,,,,,
59,000026.SZ,20001115,,,,,
60,000026.SZ,20001116,,,,,
61,000026.SZ,20001117,,,,,
62,000026.SZ,20001120,,,,,
63,000026.SZ,20001121,,,,,
64,000026.SZ,20001122,,,,,
65,000026.SZ,20001123,,,,,
66,000026.SZ,20001124,,,,,
67,000026.SZ,20001127,,,,,
68,000026.SZ,20001128,,,,,
69,000026.SZ,20001129,,,,,
70,000026.SZ,20001130,,,,,
71,000026.SZ,20001201,,,,,
72,000026.SZ,20001204,,,,,
73,000026.SZ,20001205,,,,,
74,000026.SZ,20001206,,,,,
75,000026.SZ,20001207,,,,,
76,000026.SZ,20001208,,,,,
77,000026.SZ,20001211,,,,,
78,000026.SZ,20001212,,,,,
79,000026.SZ,20001213,,,,,
80,000026.SZ,20001214,,,,,
81,000026.SZ,20001215,,,,,
82,000026.SZ,20001218,,,,,
83,000026.SZ,20001219,,,,,
84,000026.SZ,20001220,,,,,
85,000026.SZ,20001221,,,,,
86,000026.SZ,20001222,,,,,
87,000026.SZ,20001225,,,,,
88,000026.SZ,20001226,,,,,
89,000026.SZ,20001227,,,,,
90,000026.SZ,20001228,,,,,
91,000026.SZ,20001229,,,,,
92,000026.SZ,20010102,,,,,
93,000026.SZ,20010103,,,,,
94,000026.SZ,20010104,,,,,
95,000026.SZ,20010105,,,,,
96,000026.SZ,20010108,,,,,
97,000026.SZ,20010109,,,,,
98,000026.SZ,20010110,,,,,
99,000026.SZ,20010111,,,,,
100,000026.SZ,20010112,,,,,
101,000026.SZ,20010115,,,,,
102,000026.SZ,20010116,,,,,
103,000026.SZ,20010117,6.168279999999999,,,,
104,000026.SZ,20010118,6.228039999999999,,,,
105,000026.SZ,20010119,6.3565,,,,
106,000026.SZ,20010205,6.45908,,,,
107,000026.SZ,20010206,6.56434,,,,
108,000026.SZ,20010207,6.6981399999999995,6.433209999999998,,,
109,000026.SZ,20010208,6.76146,6.494749999999998,,,
110,000026.SZ,20010209,6.763240000000001,6.559869999999998,,,
111,000026.SZ,20010212,6.771260000000001,6.615169999999997,,,
112,000026.SZ,20010213,6.79534,6.679839999999997,,,
113,000026.SZ,20010214,6.77214,6.735139999999997,,,
114,000026.SZ,20010215,6.73736,6.7494099999999975,,,
115,000026.SZ,20010216,6.7168399999999995,6.740039999999998,,,
116,000026.SZ,20010219,6.7444999999999995,6.7578799999999974,,,
117,000026.SZ,20010220,6.7382599999999995,6.766799999999998,,,
118,000026.SZ,20010221,6.702579999999999,6.737359999999998,6.585284999999999,,
119,000026.SZ,20010222,6.657979999999999,6.697669999999998,6.596209999999999,,
120,000026.SZ,20010223,6.626759999999999,6.6717999999999975,6.615835,,
121,000026.SZ,20010226,6.621399999999999,6.682949999999998,6.64906,,
122,000026.SZ,20010227,6.618719999999999,6.678489999999998,6.679165,,
123,000026.SZ,20010228,6.643699999999998,6.673139999999998,6.704140000000001,,
124,000026.SZ,20010301,6.683839999999998,6.6709099999999975,6.710160000000002,,
125,000026.SZ,20010302,6.695439999999998,6.661099999999998,6.700570000000002,,
126,000026.SZ,20010305,6.643719999999997,6.632559999999998,6.695220000000002,,
127,000026.SZ,20010306,6.6410399999999985,6.629879999999997,6.698340000000002,,
128,000026.SZ,20010307,6.652639999999998,6.648169999999998,6.692765000000001,6.606246666666666,
