,code,date,ma5,ma10,ma20,ma30,ma60
0,000078.SZ,20000818,,,,,
1,000078.SZ,20000821,,,,,
2,000078.SZ,20000822,,,,,
3,000078.SZ,20000823,,,,,
4,000078.SZ,20000824,,,,,
5,000078.SZ,20000825,,,,,
6,000078.SZ,20000828,,,,,
7,000078.SZ,20000829,,,,,
8,000078.SZ,20000830,,,,,
9,000078.SZ,20000831,,,,,
10,000078.SZ,20000901,,,,,
11,000078.SZ,20000904,,,,,
12,000078.SZ,20000905,,,,,
13,000078.SZ,20000906,,,,,
14,000078.SZ,20000907,,,,,
15,000078.SZ,20000908,,,,,
16,000078.SZ,20000911,,,,,
17,000078.SZ,20000912,,,,,
18,000078.SZ,20000913,,,,,
19,000078.SZ,20000914,,,,,
20,000078.SZ,20000915,,,,,
21,000078.SZ,20000918,,,,,
22,000078.SZ,20000919,,,,,
23,000078.SZ,20000920,,,,,
24,000078.SZ,20000921,,,,,
25,000078.SZ,20000922,,,,,
26,000078.SZ,20000925,,,,,
27,000078.SZ,20000926,,,,,
28,000078.SZ,20000927,,,,,
29,000078.SZ,20000928,,,,,
30,000078.SZ,20000929,,,,,
31,000078.SZ,20001009,,,,,
32,000078.SZ,20001010,,,,,
33,000078.SZ,20001011,,,,,
34,000078.SZ,20001012,,,,,
35,000078.SZ,20001013,,,,,
36,000078.SZ,20001016,,,,,
37,000078.SZ,20001017,,,,,
38,000078.SZ,20001018,,,,,
39,000078.SZ,20001019,,,,,
40,000078.SZ,20001020,,,,,
41,000078.SZ,20001023,,,,,
42,000078.SZ,20001024,,,,,
43,000078.SZ,20001025,,,,,
44,000078.SZ,20001026,,,,,
45,000078.SZ,20001027,,,,,
46,000078.SZ,20001030,,,,,
47,000078.SZ,20001031,,,,,
48,000078.SZ,20001101,,,,,
49,000078.SZ,20001102,,,,,
50,000078.SZ,20001103,,,,,
51,000078.SZ,20001106,,,,,
52,000078.SZ,20001107,,,,,
53,000078.SZ,20001108,,,,,
54,000078.SZ,20001109,,,,,
55,000078.SZ,20001110,,,,,
56,000078.SZ,20001113,,,,,
57,000078.SZ,20001114,,,,,
58,000078.SZ,20001115,,,,,
59,000078.SZ,20001116,,,,,
60,000078.SZ,20001117,,,,,
61,000078.SZ,20001120,,,,,
62,000078.SZ,20001121,,,,,
63,000078.SZ,20001122,,,,,
64,000078.SZ,20001123,,,,,
65,000078.SZ,20001124,,,,,
66,000078.SZ,20001127,,,,,
67,000078.SZ,20001128,,,,,
68,000078.SZ,20001129,,,,,
69,000078.SZ,20001130,,,,,
70,000078.SZ,20001201,,,,,
71,000078.SZ,20001204,,,,,
72,000078.SZ,20001205,,,,,
73,000078.SZ,20001206,,,,,
74,000078.SZ,20001207,,,,,
75,000078.SZ,20001208,,,,,
76,000078.SZ,20001211,,,,,
77,000078.SZ,20001212,,,,,
78,000078.SZ,20001213,,,,,
79,000078.SZ,20001214,,,,,
80,000078.SZ,20001215,,,,,
81,000078.SZ,20001218,,,,,
82,000078.SZ,20001219,,,,,
83,000078.SZ,20001220,,,,,
84,000078.SZ,20001221,,,,,
85,000078.SZ,20001222,,,,,
86,000078.SZ,20001225,,,,,
87,000078.SZ,20001226,,,,,
88,000078.SZ,20001227,,,,,
89,000078.SZ,20010103,,,,,
90,000078.SZ,20010104,,,,,
91,000078.SZ,20010105,,,,,
92,000078.SZ,20010108,,,,,
93,000078.SZ,20010109,,,,,
94,000078.SZ,20010110,,,,,
95,000078.SZ,20010111,,,,,
96,000078.SZ,20010112,,,,,
97,000078.SZ,20010115,,,,,
98,000078.SZ,20010116,,,,,
99,000078.SZ,20010117,2.38494,,,,
100,000078.SZ,20010118,2.3032,,,,
101,000078.SZ,20010119,2.23298,,,,
102,000078.SZ,20010205,2.17334,,,,
103,000078.SZ,20010206,2.12502,,,,
104,000078.SZ,20010207,2.08298,2.2339599999999997,,,
105,000078.SZ,20010208,2.04268,2.1729399999999996,,,
106,000078.SZ,20010209,2.00494,2.1189599999999995,,,
107,000078.SZ,20010212,1.9933999999999998,2.0833699999999995,,,
108,000078.SZ,20010213,1.97932,2.0521699999999994,,,
109,000078.SZ,20010214,1.9664199999999998,2.0246999999999993,,,
110,000078.SZ,20010215,1.9716999999999998,2.0071899999999996,,,
111,000078.SZ,20010216,1.9605599999999999,1.9827499999999998,,,
112,000078.SZ,20010219,1.9531399999999999,1.9732699999999999,,,
113,000078.SZ,20010220,1.9474799999999999,1.9634,,,
114,000078.SZ,20010221,1.9318199999999996,1.94912,2.0915399999999993,,
115,000078.SZ,20010222,1.9300599999999999,1.9508800000000002,2.0619099999999992,,
116,000078.SZ,20010223,1.93808,1.9493200000000002,2.0341399999999994,,
117,000078.SZ,20010226,1.94668,1.9499100000000003,2.0166399999999998,,
118,000078.SZ,20010227,1.9556799999999999,1.9515800000000003,2.0018749999999996,,
119,000078.SZ,20010301,1.97426,1.9530400000000003,1.9888699999999997,,
120,000078.SZ,20010302,1.9906999999999997,1.9603800000000002,1.9837849999999997,,
121,000078.SZ,20010305,1.9944199999999994,1.96625,1.9744999999999997,,
122,000078.SZ,20010306,1.9858199999999997,1.96625,1.9697599999999997,,
123,000078.SZ,20010307,1.9764199999999996,1.9660499999999999,1.9647249999999996,,
124,000078.SZ,20010308,1.9703599999999994,1.9723099999999998,1.9607149999999993,2.051796666666666,
125,000078.SZ,20010309,1.9672199999999997,1.97896,1.9649199999999993,2.0342599999999993,
126,000078.SZ,20010312,1.97796,1.98619,1.9677549999999993,2.0181566666666657,
127,000078.SZ,20010313,1.9887000000000001,1.9872599999999998,1.9685849999999996,2.0068466666666662,
128,000078.SZ,20010314,2.0026,1.98951,1.970544999999999,1.9977533333333326,
129,000078.SZ,20010315,2.01532,1.99284,1.972939999999999,1.9901933333333326,
