,code,date,ma5,ma10,ma20,ma30,ma60
0,000415.SZ,19971222,,,,,
1,000415.SZ,19971223,,,,,
2,000415.SZ,19971224,,,,,
3,000415.SZ,19971225,,,,,
4,000415.SZ,19971226,,,,,
5,000415.SZ,19971229,,,,,
6,000415.SZ,19971230,,,,,
7,000415.SZ,19971231,,,,,
8,000415.SZ,19980105,,,,,
9,000415.SZ,19980106,,,,,
10,000415.SZ,19980107,,,,,
11,000415.SZ,19980108,,,,,
12,000415.SZ,19980109,,,,,
13,000415.SZ,19980112,,,,,
14,000415.SZ,19980113,,,,,
15,000415.SZ,19980114,,,,,
16,000415.SZ,19980115,,,,,
17,000415.SZ,19980116,,,,,
18,000415.SZ,19980119,,,,,
19,000415.SZ,19980120,,,,,
20,000415.SZ,19980121,,,,,
21,000415.SZ,19980122,,,,,
22,000415.SZ,19980123,,,,,
23,000415.SZ,19980209,,,,,
24,000415.SZ,19980210,,,,,
25,000415.SZ,19980211,,,,,
26,000415.SZ,19980212,,,,,
27,000415.SZ,19980213,,,,,
28,000415.SZ,19980216,,,,,
29,000415.SZ,19980217,,,,,
30,000415.SZ,19980218,,,,,
31,000415.SZ,19980219,,,,,
32,000415.SZ,19980220,,,,,
33,000415.SZ,19980223,,,,,
34,000415.SZ,19980224,,,,,
35,000415.SZ,19980225,,,,,
36,000415.SZ,19980226,,,,,
37,000415.SZ,19980227,,,,,
38,000415.SZ,19980302,,,,,
39,000415.SZ,19980303,,,,,
40,000415.SZ,19980304,,,,,
41,000415.SZ,19980305,,,,,
42,000415.SZ,19980306,,,,,
43,000415.SZ,19980309,,,,,
44,000415.SZ,19980310,,,,,
45,000415.SZ,19980311,,,,,
46,000415.SZ,19980312,,,,,
47,000415.SZ,19980313,,,,,
48,000415.SZ,19980316,,,,,
49,000415.SZ,19980317,,,,,
50,000415.SZ,19980318,,,,,
51,000415.SZ,19980319,,,,,
52,000415.SZ,19980320,,,,,
53,000415.SZ,19980323,,,,,
54,000415.SZ,19980324,,,,,
55,000415.SZ,19980325,,,,,
56,000415.SZ,19980326,,,,,
57,000415.SZ,19980327,,,,,
58,000415.SZ,19980330,,,,,
59,000415.SZ,19980331,,,,,
60,000415.SZ,19980401,,,,,
61,000415.SZ,19980402,,,,,
62,000415.SZ,19980403,,,,,
63,000415.SZ,19980406,,,,,
64,000415.SZ,19980407,,,,,
65,000415.SZ,19980408,,,,,
66,000415.SZ,19980409,,,,,
67,000415.SZ,19980410,,,,,
68,000415.SZ,19980413,,,,,
69,000415.SZ,19980414,,,,,
70,000415.SZ,19980415,,,,,
71,000415.SZ,19980416,,,,,
72,000415.SZ,19980417,,,,,
73,000415.SZ,19980420,,,,,
74,000415.SZ,19980421,,,,,
75,000415.SZ,19980422,,,,,
76,000415.SZ,19980423,,,,,
77,000415.SZ,19980424,,,,,
78,000415.SZ,19980427,,,,,
79,000415.SZ,19980428,,,,,
80,000415.SZ,19980429,,,,,
81,000415.SZ,19980430,,,,,
82,000415.SZ,19980504,,,,,
83,000415.SZ,19980505,,,,,
84,000415.SZ,19980506,,,,,
85,000415.SZ,19980507,,,,,
86,000415.SZ,19980508,,,,,
87,000415.SZ,19980511,,,,,
88,000415.SZ,19980512,,,,,
89,000415.SZ,19980513,,,,,
90,000415.SZ,19980514,,,,,
91,000415.SZ,19980515,,,,,
92,000415.SZ,19980519,,,,,
93,000415.SZ,19980520,,,,,
94,000415.SZ,19980521,,,,,
95,000415.SZ,19980522,,,,,
96,000415.SZ,19980525,,,,,
97,000415.SZ,19980526,,,,,
98,000415.SZ,19980527,,,,,
99,000415.SZ,19980528,,,,,
100,000415.SZ,19980529,,,,,
101,000415.SZ,19980601,,,,,
102,000415.SZ,19980602,,,,,
103,000415.SZ,19980603,,,,,
104,000415.SZ,19980604,,,,,
105,000415.SZ,19980605,,,,,
106,000415.SZ,19980608,,,,,
107,000415.SZ,19980609,,,,,
108,000415.SZ,19980610,,,,,
109,000415.SZ,19980611,,,,,
110,000415.SZ,19980612,,,,,
111,000415.SZ,19980615,,,,,
112,000415.SZ,19980616,,,,,
113,000415.SZ,19980617,,,,,
114,000415.SZ,19980618,,,,,
115,000415.SZ,19980619,,,,,
116,000415.SZ,19980622,,,,,
117,000415.SZ,19980623,,,,,
118,000415.SZ,19980624,,,,,
119,000415.SZ,19980625,,,,,
120,000415.SZ,19980626,,,,,
