,code,date,ma5,ma10,ma20,ma30,ma60
0,000019.SZ,19990621,,,,,
1,000019.SZ,19990622,,,,,
2,000019.SZ,19990623,,,,,
3,000019.SZ,19990624,,,,,
4,000019.SZ,19990625,,,,,
5,000019.SZ,19990628,,,,,
6,000019.SZ,19990629,,,,,
7,000019.SZ,19990630,,,,,
8,000019.SZ,19990701,,,,,
9,000019.SZ,19990702,,,,,
10,000019.SZ,19990705,,,,,
11,000019.SZ,19990706,,,,,
12,000019.SZ,19990707,,,,,
13,000019.SZ,19990708,,,,,
14,000019.SZ,19990709,,,,,
15,000019.SZ,19990712,,,,,
16,000019.SZ,19990713,,,,,
17,000019.SZ,19990714,,,,,
18,000019.SZ,19990715,,,,,
19,000019.SZ,19990716,,,,,
20,000019.SZ,19990719,,,,,
21,000019.SZ,19990720,,,,,
22,000019.SZ,19990721,,,,,
23,000019.SZ,19990722,,,,,
24,000019.SZ,19990723,,,,,
25,000019.SZ,19990726,,,,,
26,000019.SZ,19990727,,,,,
27,000019.SZ,19990728,,,,,
28,000019.SZ,19990729,,,,,
29,000019.SZ,19990730,,,,,
30,000019.SZ,19990802,,,,,
31,000019.SZ,19990803,,,,,
32,000019.SZ,19990804,,,,,
33,000019.SZ,19990805,,,,,
34,000019.SZ,19990806,,,,,
35,000019.SZ,19990809,,,,,
36,000019.SZ,19990810,,,,,
37,000019.SZ,19990811,,,,,
38,000019.SZ,19990812,,,,,
39,000019.SZ,19990813,,,,,
40,000019.SZ,19990816,,,,,
41,000019.SZ,19990817,,,,,
42,000019.SZ,19990818,,,,,
43,000019.SZ,19990819,,,,,
44,000019.SZ,19990820,,,,,
45,000019.SZ,19990823,,,,,
46,000019.SZ,19990824,,,,,
47,000019.SZ,19990825,,,,,
48,000019.SZ,19990826,,,,,
49,000019.SZ,19990827,,,,,
50,000019.SZ,19990830,,,,,
51,000019.SZ,19990831,,,,,
52,000019.SZ,19990901,,,,,
53,000019.SZ,19990902,,,,,
54,000019.SZ,19990903,,,,,
55,000019.SZ,19990906,,,,,
56,000019.SZ,19990907,,,,,
57,000019.SZ,19990908,,,,,
58,000019.SZ,19990909,,,,,
59,000019.SZ,19990910,,,,,
60,000019.SZ,19990913,,,,,
61,000019.SZ,19990914,,,,,
62,000019.SZ,19990915,,,,,
63,000019.SZ,19990916,,,,,
64,000019.SZ,19990917,,,,,
65,000019.SZ,19990920,,,,,
66,000019.SZ,19990921,,,,,
67,000019.SZ,19990922,,,,,
68,000019.SZ,19990923,,,,,
69,000019.SZ,19990924,,,,,
70,000019.SZ,19990927,,,,,
71,000019.SZ,19990928,,,,,
72,000019.SZ,19990929,,,,,
73,000019.SZ,19990930,,,,,
74,000019.SZ,19991008,,,,,
75,000019.SZ,19991011,,,,,
76,000019.SZ,19991012,,,,,
77,000019.SZ,19991013,,,,,
78,000019.SZ,19991014,,,,,
79,000019.SZ,19991015,,,,,
80,000019.SZ,19991018,,,,,
81,000019.SZ,19991019,,,,,
82,000019.SZ,19991020,,,,,
83,000019.SZ,19991021,,,,,
84,000019.SZ,19991022,,,,,
85,000019.SZ,19991025,,,,,
86,000019.SZ,19991026,,,,,
87,000019.SZ,19991027,,,,,
88,000019.SZ,19991028,,,,,
89,000019.SZ,19991029,,,,,
90,000019.SZ,19991101,,,,,
91,000019.SZ,19991102,,,,,
92,000019.SZ,19991103,,,,,
93,000019.SZ,19991104,,,,,
94,000019.SZ,19991105,,,,,
95,000019.SZ,19991108,,,,,
96,000019.SZ,19991109,,,,,
97,000019.SZ,19991110,,,,,
98,000019.SZ,19991111,,,,,
99,000019.SZ,19991112,,,,,
100,000019.SZ,19991115,,,,,
101,000019.SZ,19991116,,,,,
102,000019.SZ,19991117,,,,,
103,000019.SZ,19991118,,,,,
104,000019.SZ,19991119,,,,,
105,000019.SZ,19991122,,,,,
106,000019.SZ,19991123,,,,,
107,000019.SZ,19991124,,,,,
108,000019.SZ,19991125,,,,,
109,000019.SZ,19991126,,,,,
110,000019.SZ,19991129,,,,,
111,000019.SZ,19991130,,,,,
112,000019.SZ,19991201,,,,,
113,000019.SZ,19991202,,,,,
114,000019.SZ,19991203,,,,,
115,000019.SZ,19991206,,,,,
116,000019.SZ,19991207,,,,,
117,000019.SZ,19991208,,,,,
118,000019.SZ,19991209,,,,,
119,000019.SZ,19991210,,,,,
120,000019.SZ,19991213,,,,,
121,000019.SZ,19991214,,,,,
122,000019.SZ,19991215,,,,,
123,000019.SZ,19991216,,,,,
124,000019.SZ,19991217,,,,,
125,000019.SZ,19991221,,,,,
126,000019.SZ,19991222,,,,,
127,000019.SZ,19991223,,,,,
128,000019.SZ,19991224,,,,,
129,000019.SZ,19991227,,,,,
130,000019.SZ,19991228,,,,,
131,000019.SZ,19991229,,,,,
132,000019.SZ,19991230,,,,,
133,000019.SZ,20000104,,,,,
134,000019.SZ,20000105,,,,,
135,000019.SZ,20000106,,,,,
136,000019.SZ,20000107,,,,,
137,000019.SZ,20000110,,,,,
138,000019.SZ,20000111,,,,,
139,000019.SZ,20000112,,,,,
140,000019.SZ,20000113,,,,,
141,000019.SZ,20000114,,,,,
142,000019.SZ,20000117,,,,,
143,000019.SZ,20000118,,,,,
144,000019.SZ,20000119,,,,,
145,000019.SZ,20000120,,,,,
146,000019.SZ,20000121,,,,,
147,000019.SZ,20000124,,,,,
148,000019.SZ,20000125,,,,,
149,000019.SZ,20000126,,,,,
150,000019.SZ,20000127,,,,,
151,000019.SZ,20000128,,,,,
152,000019.SZ,20000214,,,,,
153,000019.SZ,20000215,,,,,
154,000019.SZ,20000216,,,,,
155,000019.SZ,20000217,,,,,
156,000019.SZ,20000218,,,,,
157,000019.SZ,20000221,,,,,
158,000019.SZ,20000222,,,,,
159,000019.SZ,20000223,,,,,
160,000019.SZ,20000224,,,,,
161,000019.SZ,20000225,,,,,
162,000019.SZ,20000228,,,,,
163,000019.SZ,20000229,,,,,
164,000019.SZ,20000301,,,,,
165,000019.SZ,20000302,,,,,
166,000019.SZ,20000303,,,,,
167,000019.SZ,20000306,,,,,
168,000019.SZ,20000307,,,,,
169,000019.SZ,20000308,,,,,
170,000019.SZ,20000309,,,,,
171,000019.SZ,20000310,,,,,
172,000019.SZ,20000313,,,,,
173,000019.SZ,20000314,,,,,
174,000019.SZ,20000315,,,,,
175,000019.SZ,20000316,,,,,
176,000019.SZ,20000317,,,,,
177,000019.SZ,20000320,,,,,
178,000019.SZ,20000321,,,,,
179,000019.SZ,20000322,,,,,
180,000019.SZ,20000323,,,,,
181,000019.SZ,20000324,,,,,
182,000019.SZ,20000327,,,,,
183,000019.SZ,20000328,,,,,
184,000019.SZ,20000329,,,,,
185,000019.SZ,20000330,,,,,
186,000019.SZ,20000331,,,,,
187,000019.SZ,20000403,,,,,
188,000019.SZ,20000404,,,,,
189,000019.SZ,20000405,,,,,
190,000019.SZ,20000406,,,,,
191,000019.SZ,20000407,,,,,
192,000019.SZ,20000410,,,,,
193,000019.SZ,20000411,,,,,
194,000019.SZ,20000412,,,,,
195,000019.SZ,20000413,,,,,
196,000019.SZ,20000414,,,,,
197,000019.SZ,20000417,,,,,
198,000019.SZ,20000418,,,,,
199,000019.SZ,20000419,,,,,
200,000019.SZ,20000420,,,,,
201,000019.SZ,20000421,,,,,
202,000019.SZ,20000424,,,,,
203,000019.SZ,20000425,,,,,
204,000019.SZ,20000426,,,,,
205,000019.SZ,20000427,,,,,
206,000019.SZ,20000428,,,,,
207,000019.SZ,20000508,,,,,
208,000019.SZ,20000509,,,,,
209,000019.SZ,20000510,,,,,
210,000019.SZ,20000511,,,,,
211,000019.SZ,20000512,,,,,
212,000019.SZ,20000515,,,,,
213,000019.SZ,20000516,,,,,
214,000019.SZ,20000517,,,,,
215,000019.SZ,20000518,,,,,
216,000019.SZ,20000519,,,,,
217,000019.SZ,20000522,,,,,
218,000019.SZ,20000523,,,,,
219,000019.SZ,20000524,,,,,
220,000019.SZ,20000525,,,,,
221,000019.SZ,20000526,,,,,
222,000019.SZ,20000529,,,,,
223,000019.SZ,20000530,,,,,
224,000019.SZ,20000531,,,,,
225,000019.SZ,20000601,,,,,
226,000019.SZ,20000602,,,,,
227,000019.SZ,20000605,,,,,
228,000019.SZ,20000606,,,,,
229,000019.SZ,20000607,,,,,
230,000019.SZ,20000608,,,,,
231,000019.SZ,20000609,,,,,
232,000019.SZ,20000612,,,,,
233,000019.SZ,20000613,,,,,
234,000019.SZ,20000614,,,,,
235,000019.SZ,20000615,,,,,
236,000019.SZ,20000616,,,,,
237,000019.SZ,20000619,,,,,
238,000019.SZ,20000620,,,,,
239,000019.SZ,20000621,,,,,
240,000019.SZ,20000622,,,,,
241,000019.SZ,20000623,,,,,
242,000019.SZ,20000626,,,,,
243,000019.SZ,20000627,,,,,
244,000019.SZ,20000628,,,,,
245,000019.SZ,20000629,,,,,
