,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000151.SZ,20001031
1,,,,,,000151.SZ,20001101
2,,,,,,000151.SZ,20001102
3,,,,,,000151.SZ,20001103
4,,,,,,000151.SZ,20001106
5,,,,,,000151.SZ,20001107
6,,,,,,000151.SZ,20001108
7,,,,,,000151.SZ,20001109
8,,,,,,000151.SZ,20001110
9,,,,,,000151.SZ,20001113
10,,,,,,000151.SZ,20001114
11,,,,,,000151.SZ,20001115
12,,,,,,000151.SZ,20001116
13,,,,,,000151.SZ,20001117
14,,,,,,000151.SZ,20001120
15,,,,,,000151.SZ,20001121
16,,,,,,000151.SZ,20001122
17,,,,,,000151.SZ,20001123
18,,,,,,000151.SZ,20001124
19,,,,,,000151.SZ,20001127
20,,,,,,000151.SZ,20001128
21,,,,,,000151.SZ,20001129
22,,,,,,000151.SZ,20001130
23,,,,,,000151.SZ,20001201
24,,,,,,000151.SZ,20001204
25,,,,,,000151.SZ,20001205
26,,,,,,000151.SZ,20001206
27,,,,,,000151.SZ,20001207
28,,,,,,000151.SZ,20001208
29,,,,,,000151.SZ,20001211
30,,,,,,000151.SZ,20001212
31,,,,,,000151.SZ,20001213
32,,,,,,000151.SZ,20001214
33,,,,,,000151.SZ,20001215
34,,,,,,000151.SZ,20001218
35,,,,,,000151.SZ,20001219
36,,,,,,000151.SZ,20001220
37,,,,,,000151.SZ,20001221
38,,,,,,000151.SZ,20001222
39,,,,,,000151.SZ,20001226
40,,,,,,000151.SZ,20001227
41,,,,,,000151.SZ,20001228
42,,,,,,000151.SZ,20001229
43,,,,,,000151.SZ,20010102
44,,,,,,000151.SZ,20010103
45,,,,,,000151.SZ,20010104
46,,,,,,000151.SZ,20010105
47,,,,,,000151.SZ,20010108
48,,,,,,000151.SZ,20010109
49,,,,,,000151.SZ,20010110
50,,,,,,000151.SZ,20010111
51,,,,,,000151.SZ,20010112
52,,,,,,000151.SZ,20010115
53,,,,,,000151.SZ,20010116
54,,,,,,000151.SZ,20010117
55,0.9052626483863552,,,,,000151.SZ,20010118
56,0.9410186335403725,,,,,000151.SZ,20010119
57,0.9560213892333747,,,,,000151.SZ,20010205
58,0.9638047690993891,,,,,000151.SZ,20010206
59,0.9834138204710852,,,,,000151.SZ,20010207
60,0.9365325491244486,0.8478079357204226,,,,000151.SZ,20010208
61,0.9612419474073293,0.9045465838509316,,,,000151.SZ,20010209
62,1.019206896070746,0.9743835926977904,,,,000151.SZ,20010212
63,0.9965376226826608,0.960467713328516,,,,000151.SZ,20010213
64,1.0024758569748038,0.9858486124376169,,,,000151.SZ,20010214
65,1.0403499757357768,0.9743216147573854,,,,000151.SZ,20010215
66,1.0029938475060427,0.9641197592142782,,,,000151.SZ,20010216
