,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000426.SZ,19990402
1,,,,,,000426.SZ,19990405
2,,,,,,000426.SZ,19990406
3,,,,,,000426.SZ,19990407
4,,,,,,000426.SZ,19990408
5,,,,,,000426.SZ,19990409
6,,,,,,000426.SZ,19990412
7,,,,,,000426.SZ,19990413
8,,,,,,000426.SZ,19990414
9,,,,,,000426.SZ,19990415
10,,,,,,000426.SZ,19990416
11,,,,,,000426.SZ,19990419
12,,,,,,000426.SZ,19990420
13,,,,,,000426.SZ,19990421
14,,,,,,000426.SZ,19990422
15,,,,,,000426.SZ,19990423
16,,,,,,000426.SZ,19990426
17,,,,,,000426.SZ,19990427
18,,,,,,000426.SZ,19990428
19,,,,,,000426.SZ,19990429
20,,,,,,000426.SZ,19990430
21,,,,,,000426.SZ,19990505
22,,,,,,000426.SZ,19990506
23,,,,,,000426.SZ,19990507
24,,,,,,000426.SZ,19990510
25,,,,,,000426.SZ,19990511
26,,,,,,000426.SZ,19990512
27,,,,,,000426.SZ,19990513
28,,,,,,000426.SZ,19990514
29,,,,,,000426.SZ,19990517
30,,,,,,000426.SZ,19990518
31,,,,,,000426.SZ,19990519
32,,,,,,000426.SZ,19990520
33,,,,,,000426.SZ,19990521
34,,,,,,000426.SZ,19990524
35,,,,,,000426.SZ,19990525
36,,,,,,000426.SZ,19990526
37,,,,,,000426.SZ,19990527
38,,,,,,000426.SZ,19990528
39,,,,,,000426.SZ,19990531
40,,,,,,000426.SZ,19990601
41,,,,,,000426.SZ,19990602
42,,,,,,000426.SZ,19990603
43,,,,,,000426.SZ,19990604
44,,,,,,000426.SZ,19990607
45,,,,,,000426.SZ,19990608
46,,,,,,000426.SZ,19990609
47,,,,,,000426.SZ,19990610
48,,,,,,000426.SZ,19990611
49,,,,,,000426.SZ,19990614
50,,,,,,000426.SZ,19990615
51,,,,,,000426.SZ,19990616
52,,,,,,000426.SZ,19990617
53,,,,,,000426.SZ,19990618
54,,,,,,000426.SZ,19990621
55,,,,,,000426.SZ,19990622
56,,,,,,000426.SZ,19990623
57,,,,,,000426.SZ,19990624
58,,,,,,000426.SZ,19990625
59,,,,,,000426.SZ,19990628
60,,,,,,000426.SZ,19990629
61,,,,,,000426.SZ,19990630
62,,,,,,000426.SZ,19990701
63,,,,,,000426.SZ,19990702
64,,,,,,000426.SZ,19990705
65,,,,,,000426.SZ,19990706
66,,,,,,000426.SZ,19990707
67,,,,,,000426.SZ,19990708
68,,,,,,000426.SZ,19990709
69,,,,,,000426.SZ,19990712
70,,,,,,000426.SZ,19990713
71,,,,,,000426.SZ,19990714
72,,,,,,000426.SZ,19990715
73,,,,,,000426.SZ,19990716
74,,,,,,000426.SZ,19990719
75,,,,,,000426.SZ,19990720
76,,,,,,000426.SZ,19990721
77,,,,,,000426.SZ,19990722
78,,,,,,000426.SZ,19990723
79,,,,,,000426.SZ,19990726
80,,,,,,000426.SZ,19990727
81,,,,,,000426.SZ,19990728
82,,,,,,000426.SZ,19990729
83,,,,,,000426.SZ,19990730
84,,,,,,000426.SZ,19990802
85,,,,,,000426.SZ,19990803
86,,,,,,000426.SZ,19990804
87,,,,,,000426.SZ,19990805
88,,,,,,000426.SZ,19990806
89,,,,,,000426.SZ,19990809
90,,,,,,000426.SZ,19990810
91,,,,,,000426.SZ,19990811
92,,,,,,000426.SZ,19990812
93,,,,,,000426.SZ,19990813
94,,,,,,000426.SZ,19990816
95,,,,,,000426.SZ,19990817
96,,,,,,000426.SZ,19990818
97,,,,,,000426.SZ,19990819
98,,,,,,000426.SZ,19990820
99,,,,,,000426.SZ,19990823
100,,,,,,000426.SZ,19990824
101,,,,,,000426.SZ,19990825
102,,,,,,000426.SZ,19990826
103,,,,,,000426.SZ,19990827
104,,,,,,000426.SZ,19990830
105,,,,,,000426.SZ,19990831
106,,,,,,000426.SZ,19990901
107,,,,,,000426.SZ,19990902
108,,,,,,000426.SZ,19990903
109,,,,,,000426.SZ,19990906
110,,,,,,000426.SZ,19990907
111,,,,,,000426.SZ,19990908
112,,,,,,000426.SZ,19990909
113,,,,,,000426.SZ,19990910
114,,,,,,000426.SZ,19990913
115,,,,,,000426.SZ,19990914
116,,,,,,000426.SZ,19990915
117,,,,,,000426.SZ,19990916
118,,,,,,000426.SZ,19990917
119,,,,,,000426.SZ,19990920
120,,,,,,000426.SZ,19990921
121,,,,,,000426.SZ,19990922
122,,,,,,000426.SZ,19990923
123,,,,,,000426.SZ,19990924
124,,,,,,000426.SZ,19990927
125,,,,,,000426.SZ,19990928
126,,,,,,000426.SZ,19990929
127,,,,,,000426.SZ,19990930
128,,,,,,000426.SZ,19991008
129,,,,,,000426.SZ,19991011
130,,,,,,000426.SZ,19991012
131,,,,,,000426.SZ,19991013
132,,,,,,000426.SZ,19991014
133,,,,,,000426.SZ,19991015
134,,,,,,000426.SZ,19991018
135,,,,,,000426.SZ,19991019
136,,,,,,000426.SZ,19991020
137,,,,,,000426.SZ,19991021
138,,,,,,000426.SZ,19991022
139,,,,,,000426.SZ,19991025
140,,,,,,000426.SZ,19991026
141,,,,,,000426.SZ,19991027
142,,,,,,000426.SZ,19991028
143,,,,,,000426.SZ,19991029
144,,,,,,000426.SZ,19991101
145,,,,,,000426.SZ,19991102
146,,,,,,000426.SZ,19991103
147,,,,,,000426.SZ,19991104
148,,,,,,000426.SZ,19991105
149,,,,,,000426.SZ,19991108
150,,,,,,000426.SZ,19991109
151,,,,,,000426.SZ,19991110
152,,,,,,000426.SZ,19991111
153,,,,,,000426.SZ,19991112
154,,,,,,000426.SZ,19991115
155,,,,,,000426.SZ,19991116
156,,,,,,000426.SZ,19991117
157,,,,,,000426.SZ,19991118
158,,,,,,000426.SZ,19991119
159,,,,,,000426.SZ,19991122
160,,,,,,000426.SZ,19991123
161,,,,,,000426.SZ,19991124
162,,,,,,000426.SZ,19991125
163,,,,,,000426.SZ,19991126
164,,,,,,000426.SZ,19991129
165,,,,,,000426.SZ,19991130
166,,,,,,000426.SZ,19991201
167,,,,,,000426.SZ,19991202
168,,,,,,000426.SZ,19991203
169,,,,,,000426.SZ,19991206
170,,,,,,000426.SZ,19991207
171,,,,,,000426.SZ,19991208
172,,,,,,000426.SZ,19991209
173,,,,,,000426.SZ,19991210
174,,,,,,000426.SZ,19991213
175,,,,,,000426.SZ,19991214
176,,,,,,000426.SZ,19991215
177,,,,,,000426.SZ,19991216
178,,,,,,000426.SZ,19991217
179,,,,,,000426.SZ,19991221
180,,,,,,000426.SZ,19991222
181,,,,,,000426.SZ,19991223
182,,,,,,000426.SZ,19991224
183,,,,,,000426.SZ,19991227
184,,,,,,000426.SZ,19991228
185,,,,,,000426.SZ,19991229
186,,,,,,000426.SZ,19991230
187,,,,,,000426.SZ,20000104
188,,,,,,000426.SZ,20000105
189,,,,,,000426.SZ,20000106
190,,,,,,000426.SZ,20000107
191,,,,,,000426.SZ,20000110
