,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000078.SZ,20000818
1,,,,,,000078.SZ,20000821
2,,,,,,000078.SZ,20000822
3,,,,,,000078.SZ,20000823
4,,,,,,000078.SZ,20000824
5,,,,,,000078.SZ,20000825
6,,,,,,000078.SZ,20000828
7,,,,,,000078.SZ,20000829
8,,,,,,000078.SZ,20000830
9,,,,,,000078.SZ,20000831
10,,,,,,000078.SZ,20000901
11,,,,,,000078.SZ,20000904
12,,,,,,000078.SZ,20000905
13,,,,,,000078.SZ,20000906
14,,,,,,000078.SZ,20000907
15,,,,,,000078.SZ,20000908
16,,,,,,000078.SZ,20000911
17,,,,,,000078.SZ,20000912
18,,,,,,000078.SZ,20000913
19,,,,,,000078.SZ,20000914
20,,,,,,000078.SZ,20000915
21,,,,,,000078.SZ,20000918
22,,,,,,000078.SZ,20000919
23,,,,,,000078.SZ,20000920
24,,,,,,000078.SZ,20000921
25,,,,,,000078.SZ,20000922
26,,,,,,000078.SZ,20000925
27,,,,,,000078.SZ,20000926
28,,,,,,000078.SZ,20000927
29,,,,,,000078.SZ,20000928
30,,,,,,000078.SZ,20000929
31,,,,,,000078.SZ,20001009
32,,,,,,000078.SZ,20001010
33,,,,,,000078.SZ,20001011
34,,,,,,000078.SZ,20001012
35,,,,,,000078.SZ,20001013
36,,,,,,000078.SZ,20001016
37,,,,,,000078.SZ,20001017
38,,,,,,000078.SZ,20001018
39,,,,,,000078.SZ,20001019
40,,,,,,000078.SZ,20001020
41,,,,,,000078.SZ,20001023
42,,,,,,000078.SZ,20001024
43,,,,,,000078.SZ,20001025
44,,,,,,000078.SZ,20001026
45,,,,,,000078.SZ,20001027
46,,,,,,000078.SZ,20001030
47,,,,,,000078.SZ,20001031
48,,,,,,000078.SZ,20001101
49,,,,,,000078.SZ,20001102
50,,,,,,000078.SZ,20001103
51,,,,,,000078.SZ,20001106
52,,,,,,000078.SZ,20001107
53,,,,,,000078.SZ,20001108
54,,,,,,000078.SZ,20001109
55,,,,,,000078.SZ,20001110
56,,,,,,000078.SZ,20001113
57,,,,,,000078.SZ,20001114
58,,,,,,000078.SZ,20001115
59,,,,,,000078.SZ,20001116
60,,,,,,000078.SZ,20001117
61,,,,,,000078.SZ,20001120
62,,,,,,000078.SZ,20001121
63,,,,,,000078.SZ,20001122
64,,,,,,000078.SZ,20001123
65,,,,,,000078.SZ,20001124
66,,,,,,000078.SZ,20001127
67,,,,,,000078.SZ,20001128
68,,,,,,000078.SZ,20001129
69,,,,,,000078.SZ,20001130
70,,,,,,000078.SZ,20001201
71,,,,,,000078.SZ,20001204
72,,,,,,000078.SZ,20001205
73,,,,,,000078.SZ,20001206
74,,,,,,000078.SZ,20001207
75,,,,,,000078.SZ,20001208
76,,,,,,000078.SZ,20001211
77,,,,,,000078.SZ,20001212
78,,,,,,000078.SZ,20001213
79,,,,,,000078.SZ,20001214
80,,,,,,000078.SZ,20001215
81,,,,,,000078.SZ,20001218
82,,,,,,000078.SZ,20001219
83,,,,,,000078.SZ,20001220
84,,,,,,000078.SZ,20001221
85,,,,,,000078.SZ,20001222
86,,,,,,000078.SZ,20001225
87,,,,,,000078.SZ,20001226
88,,,,,,000078.SZ,20001227
89,,,,,,000078.SZ,20010103
90,,,,,,000078.SZ,20010104
91,,,,,,000078.SZ,20010105
92,,,,,,000078.SZ,20010108
93,,,,,,000078.SZ,20010109
94,,,,,,000078.SZ,20010110
95,,,,,,000078.SZ,20010111
96,,,,,,000078.SZ,20010112
97,,,,,,000078.SZ,20010115
98,,,,,,000078.SZ,20010116
99,,,,,,000078.SZ,20010117
100,0.8380616530628417,,,,,000078.SZ,20010118
101,0.8601807972601649,,,,,000078.SZ,20010119
102,0.8726130975265923,,,,,000078.SZ,20010205
103,0.8949519544328014,,,,,000078.SZ,20010206
104,0.9065362383281459,,,,,000078.SZ,20010207
105,0.9047326367547633,0.7582217291386005,,,,000078.SZ,20010208
106,0.9126388888888889,0.7850344470550755,,,,000078.SZ,20010209
107,0.9717530719146229,0.8479644581144005,,,,000078.SZ,20010212
108,0.9657970169557402,0.8643419279099092,,,,000078.SZ,20010213
109,0.9683637433784578,0.8778568252556691,,,,000078.SZ,20010214
110,1.0137959866220736,0.9172143161079854,,,,000078.SZ,20010215
111,0.9717445340638157,0.8868518518518518,,,,000078.SZ,20010216
112,0.9813098236775818,0.9535908356586871,,,,000078.SZ,20010219
113,0.9857638714221038,0.9520478064422095,,,,000078.SZ,20010220
114,0.9603403738033733,0.9299587992937021,,,,000078.SZ,20010221
115,0.9954639175257732,1.0091973244147157,0.765195340359775,,,000078.SZ,20010222
116,1.0209333890164962,0.9920864404200274,0.7788220301859743,,,000078.SZ,20010223
117,1.0220750551876379,1.0029722921914357,0.8504848562518689,,,000078.SZ,20010226
118,1.0229638701775872,1.0084008249911967,0.8716031131788338,,,000078.SZ,20010227
119,1.0489978902953587,1.0073950260851947,0.884348599377501,,,000078.SZ,20010301
120,1.0425642087821043,1.0378350515463917,0.9519171670370195,,,000078.SZ,20010302
121,1.0095106611443472,1.0306431405303822,0.9140277777777777,,,000078.SZ,20010305
122,0.978401727861771,1.0,0.9535908356586871,,,000078.SZ,20010306
123,0.9765539259702685,0.9989793835476628,0.9510761307875432,,,000078.SZ,20010307
124,0.9847654482377194,1.033016877637131,0.9606631351775553,,,000078.SZ,20010308
125,0.9922022449587763,1.0344345484672743,1.0439485785953178,0.791544496394326,,000078.SZ,20010309
126,1.0271995137517096,1.0369688602546403,1.028762745396439,0.8076141929831548,,000078.SZ,20010312
127,1.0275681503157246,1.005374453764629,1.0083627204030225,0.8550557477893117,,000078.SZ,20010313
128,1.0355026563138536,1.0112241843759353,1.019719301775743,0.8813861472237923,,000078.SZ,20010314
