,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000032.SZ,19990901
1,,,,,,000032.SZ,19990902
2,,,,,,000032.SZ,19990903
3,,,,,,000032.SZ,19990906
4,,,,,,000032.SZ,19990907
5,,,,,,000032.SZ,19990908
6,,,,,,000032.SZ,19990909
7,,,,,,000032.SZ,19990910
8,,,,,,000032.SZ,19990913
9,,,,,,000032.SZ,19990914
10,,,,,,000032.SZ,19990915
11,,,,,,000032.SZ,19990916
12,,,,,,000032.SZ,19990917
13,,,,,,000032.SZ,19990920
14,,,,,,000032.SZ,19990921
15,,,,,,000032.SZ,19990922
16,,,,,,000032.SZ,19990923
17,,,,,,000032.SZ,19990924
18,,,,,,000032.SZ,19990927
19,,,,,,000032.SZ,19990928
20,,,,,,000032.SZ,19990929
21,,,,,,000032.SZ,19990930
22,,,,,,000032.SZ,19991008
23,,,,,,000032.SZ,19991011
24,,,,,,000032.SZ,19991012
25,,,,,,000032.SZ,19991013
26,,,,,,000032.SZ,19991014
27,,,,,,000032.SZ,19991015
28,,,,,,000032.SZ,19991018
29,,,,,,000032.SZ,19991019
30,,,,,,000032.SZ,19991020
31,,,,,,000032.SZ,19991021
32,,,,,,000032.SZ,19991022
33,,,,,,000032.SZ,19991025
34,,,,,,000032.SZ,19991026
35,,,,,,000032.SZ,19991027
36,,,,,,000032.SZ,19991028
37,,,,,,000032.SZ,19991029
38,,,,,,000032.SZ,19991101
39,,,,,,000032.SZ,19991102
40,,,,,,000032.SZ,19991103
41,,,,,,000032.SZ,19991104
42,,,,,,000032.SZ,19991105
43,,,,,,000032.SZ,19991108
44,,,,,,000032.SZ,19991109
45,,,,,,000032.SZ,19991110
46,,,,,,000032.SZ,19991111
47,,,,,,000032.SZ,19991112
48,,,,,,000032.SZ,19991115
49,,,,,,000032.SZ,19991116
50,,,,,,000032.SZ,19991117
51,,,,,,000032.SZ,19991118
52,,,,,,000032.SZ,19991119
53,,,,,,000032.SZ,19991122
54,,,,,,000032.SZ,19991123
55,,,,,,000032.SZ,19991124
56,,,,,,000032.SZ,19991125
57,,,,,,000032.SZ,19991126
58,,,,,,000032.SZ,19991129
59,,,,,,000032.SZ,19991130
60,,,,,,000032.SZ,19991201
61,,,,,,000032.SZ,19991202
62,,,,,,000032.SZ,19991203
63,,,,,,000032.SZ,19991206
64,,,,,,000032.SZ,19991207
65,,,,,,000032.SZ,19991208
66,,,,,,000032.SZ,19991209
67,,,,,,000032.SZ,19991210
68,,,,,,000032.SZ,19991213
69,,,,,,000032.SZ,19991214
