,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000038.SZ,19940808
1,,,,,,000038.SZ,19940809
2,,,,,,000038.SZ,19940810
3,,,,,,000038.SZ,19940811
4,,,,,,000038.SZ,19940812
5,,,,,,000038.SZ,19940815
6,,,,,,000038.SZ,19940816
7,,,,,,000038.SZ,19940817
8,,,,,,000038.SZ,19940818
9,,,,,,000038.SZ,19940819
10,,,,,,000038.SZ,19940822
11,,,,,,000038.SZ,19940823
12,,,,,,000038.SZ,19940824
13,,,,,,000038.SZ,19940825
14,,,,,,000038.SZ,19940826
15,,,,,,000038.SZ,19940829
16,,,,,,000038.SZ,19940830
17,,,,,,000038.SZ,19940831
18,,,,,,000038.SZ,19940901
19,,,,,,000038.SZ,19940902
20,,,,,,000038.SZ,19940905
21,,,,,,000038.SZ,19940906
22,,,,,,000038.SZ,19940907
23,,,,,,000038.SZ,19940908
24,,,,,,000038.SZ,19940909
25,,,,,,000038.SZ,19940912
26,,,,,,000038.SZ,19940913
27,,,,,,000038.SZ,19940914
28,,,,,,000038.SZ,19940915
29,,,,,,000038.SZ,19940916
30,,,,,,000038.SZ,19940919
31,,,,,,000038.SZ,19940920
32,,,,,,000038.SZ,19940921
33,,,,,,000038.SZ,19940922
34,,,,,,000038.SZ,19940923
35,,,,,,000038.SZ,19940926
36,,,,,,000038.SZ,19940927
37,,,,,,000038.SZ,19940928
38,,,,,,000038.SZ,19940929
39,,,,,,000038.SZ,19940930
40,,,,,,000038.SZ,19941005
41,,,,,,000038.SZ,19941006
42,,,,,,000038.SZ,19941007
43,,,,,,000038.SZ,19941010
44,,,,,,000038.SZ,19941011
45,,,,,,000038.SZ,19941012
46,,,,,,000038.SZ,19941013
47,,,,,,000038.SZ,19941014
48,,,,,,000038.SZ,19941017
49,,,,,,000038.SZ,19941018
50,,,,,,000038.SZ,19941019
51,,,,,,000038.SZ,19941020
52,,,,,,000038.SZ,19941021
53,,,,,,000038.SZ,19941024
54,,,,,,000038.SZ,19941025
55,,,,,,000038.SZ,19941026
56,,,,,,000038.SZ,19941027
57,,,,,,000038.SZ,19941028
58,,,,,,000038.SZ,19941031
59,,,,,,000038.SZ,19941101
60,,,,,,000038.SZ,19941102
61,,,,,,000038.SZ,19941103
62,,,,,,000038.SZ,19941104
63,,,,,,000038.SZ,19941107
64,,,,,,000038.SZ,19941108
65,,,,,,000038.SZ,19941109
66,,,,,,000038.SZ,19941110
67,,,,,,000038.SZ,19941111
68,,,,,,000038.SZ,19941114
69,,,,,,000038.SZ,19941115
70,,,,,,000038.SZ,19941116
71,,,,,,000038.SZ,19941117
72,,,,,,000038.SZ,19941118
73,,,,,,000038.SZ,19941121
74,,,,,,000038.SZ,19941122
75,,,,,,000038.SZ,19941123
76,,,,,,000038.SZ,19941124
77,,,,,,000038.SZ,19941125
78,,,,,,000038.SZ,19941128
79,,,,,,000038.SZ,19941129
80,,,,,,000038.SZ,19941130
81,,,,,,000038.SZ,19941201
82,,,,,,000038.SZ,19941202
83,,,,,,000038.SZ,19941205
84,,,,,,000038.SZ,19941206
85,,,,,,000038.SZ,19941207
86,,,,,,000038.SZ,19941208
87,,,,,,000038.SZ,19941209
88,,,,,,000038.SZ,19941212
89,,,,,,000038.SZ,19941213
90,,,,,,000038.SZ,19941214
91,,,,,,000038.SZ,19941215
92,,,,,,000038.SZ,19941216
93,,,,,,000038.SZ,19941219
94,,,,,,000038.SZ,19941220
95,,,,,,000038.SZ,19941221
96,,,,,,000038.SZ,19941222
97,,,,,,000038.SZ,19941223
98,,,,,,000038.SZ,19941226
99,,,,,,000038.SZ,19941227
100,,,,,,000038.SZ,19941228
101,,,,,,000038.SZ,19941229
102,,,,,,000038.SZ,19941230
103,,,,,,000038.SZ,19950103
104,,,,,,000038.SZ,19950104
105,,,,,,000038.SZ,19950105
106,,,,,,000038.SZ,19950106
107,,,,,,000038.SZ,19950109
108,,,,,,000038.SZ,19950110
109,,,,,,000038.SZ,19950111
110,,,,,,000038.SZ,19950112
111,,,,,,000038.SZ,19950113
112,,,,,,000038.SZ,19950116
113,,,,,,000038.SZ,19950117
114,,,,,,000038.SZ,19950118
115,,,,,,000038.SZ,19950119
116,,,,,,000038.SZ,19950120
117,,,,,,000038.SZ,19950123
118,,,,,,000038.SZ,19950124
119,,,,,,000038.SZ,19950125
120,,,,,,000038.SZ,19950126
121,,,,,,000038.SZ,19950127
122,,,,,,000038.SZ,19950213
123,,,,,,000038.SZ,19950214
124,,,,,,000038.SZ,19950215
125,,,,,,000038.SZ,19950216
126,,,,,,000038.SZ,19950217
127,,,,,,000038.SZ,19950220
128,,,,,,000038.SZ,19950221
129,,,,,,000038.SZ,19950222
130,,,,,,000038.SZ,19950223
131,,,,,,000038.SZ,19950224
132,,,,,,000038.SZ,19950227
133,,,,,,000038.SZ,19950228
134,,,,,,000038.SZ,19950301
135,,,,,,000038.SZ,19950302
136,,,,,,000038.SZ,19950303
137,,,,,,000038.SZ,19950306
138,,,,,,000038.SZ,19950307
139,,,,,,000038.SZ,19950308
140,,,,,,000038.SZ,19950309
141,,,,,,000038.SZ,19950310
142,,,,,,000038.SZ,19950313
143,,,,,,000038.SZ,19950314
144,,,,,,000038.SZ,19950315
145,,,,,,000038.SZ,19950316
146,,,,,,000038.SZ,19950317
147,,,,,,000038.SZ,19950320
148,,,,,,000038.SZ,19950321
149,,,,,,000038.SZ,19950322
150,,,,,,000038.SZ,19950323
151,,,,,,000038.SZ,19950324
152,,,,,,000038.SZ,19950327
153,,,,,,000038.SZ,19950328
154,,,,,,000038.SZ,19950329
155,,,,,,000038.SZ,19950330
156,,,,,,000038.SZ,19950331
157,,,,,,000038.SZ,19950403
158,,,,,,000038.SZ,19950404
159,,,,,,000038.SZ,19950405
160,,,,,,000038.SZ,19950406
161,,,,,,000038.SZ,19950407
162,,,,,,000038.SZ,19950410
163,,,,,,000038.SZ,19950411
164,,,,,,000038.SZ,19950412
165,,,,,,000038.SZ,19950413
166,,,,,,000038.SZ,19950414
167,,,,,,000038.SZ,19950417
168,,,,,,000038.SZ,19950419
169,,,,,,000038.SZ,19950420
170,,,,,,000038.SZ,19950421
171,,,,,,000038.SZ,19950424
172,,,,,,000038.SZ,19950425
173,,,,,,000038.SZ,19950426
174,,,,,,000038.SZ,19950427
175,,,,,,000038.SZ,19950428
176,0.9349444240461966,,,,,000038.SZ,19950502
177,0.9190814113936526,,,,,000038.SZ,19950503
178,0.9473684210526315,,,,,000038.SZ,19950504
179,1.0,,,,,000038.SZ,19950505
180,0.9817073170731707,,,,,000038.SZ,19950508
181,0.9865405212424134,0.9223605594312227,,,,000038.SZ,19950509
182,0.9474530831099196,0.8707865168539326,,,,000038.SZ,19950510
183,0.9777633383871202,0.9263021100509559,,,,000038.SZ,19950511
184,1.0024853801169589,1.0024853801169589,,,,000038.SZ,19950512
185,0.9900475827249282,0.9719369562116674,,,,000038.SZ,19950515
186,0.9950783483516085,0.9816851124598357,,,,000038.SZ,19950516
187,1.0374269005847951,0.9829133154602323,,,,000038.SZ,19950517
188,1.3194639297053827,1.2901234567901234,,,,000038.SZ,19950518
189,1.3715910748140587,1.375,,,,000038.SZ,19950519
190,1.416553545878123,1.4024554138970615,,,,000038.SZ,19950522
191,1.1193948430737901,1.113885571599175,1.0274041189625824,,,000038.SZ,19950523
192,1.162926864748882,1.206451612903226,1.050561797752809,,,000038.SZ,19950524
193,0.8478412938246733,1.1186960053163997,1.0362504702301563,,,000038.SZ,19950525
194,0.8236310473152578,1.1296849934373634,1.1324926900584795,,,000038.SZ,19950526
195,0.8051591515371267,1.1405510511061379,1.1085437170161176,,,000038.SZ,19950529
196,1.0077647823261857,1.128086700367313,1.1074259193145306,,,000038.SZ,19950530
197,0.9475873283922819,1.1019747608830055,1.0831456657730116,,,000038.SZ,19950531
198,1.0158080591399625,0.861244019138756,1.1111111111111112,,,000038.SZ,19950601
199,0.9966758108762305,0.8208931419457736,1.1287280701754385,,,000038.SZ,19950602
200,0.9889989706639218,0.796301572090855,1.1167774508735608,,,000038.SZ,19950605
201,0.9680196008897772,0.9755360623781675,1.0866355444577136,1.002269768683868,,000038.SZ,19950606
202,1.0045213029272961,0.9518716577540106,1.1483870967741936,1.0,,000038.SZ,19950607
203,0.9655620532813515,0.9808257153229266,1.0972458096433582,1.016381108717212,,000038.SZ,19950608
204,0.9734473155883687,0.9702113926093271,1.0960332506927228,1.0987573099415204,,000038.SZ,19950609
205,0.9677356404085083,0.957089552238806,1.0916094948086732,1.0609756097560976,,000038.SZ,19950612
206,0.9966030572484764,0.9647312937232019,1.0883005418772957,1.0683684398429132,,000038.SZ,19950613
207,0.9752611866745515,0.9796706379327416,1.0795723169800344,1.0611260053619305,,000038.SZ,19950614
208,0.9412853297442799,0.9088693957115008,0.7827583312347854,1.00985488412389,,000038.SZ,19950615
209,0.9385603086953628,0.9136390130172916,0.75,1.0312499999999998,,000038.SZ,19950616
210,0.9770114942528736,0.9454888440772783,0.752894252933102,1.0559006211180124,,000038.SZ,19950619
211,0.9611361737677526,0.9578712492090452,0.9344379467186483,1.040856946404661,,000038.SZ,19950620
212,0.9758127000168435,0.951672251790525,0.9058698439503393,1.0928881343142802,,000038.SZ,19950621
213,1.0024664879356568,0.9436069986541049,0.9255140094386323,1.0353688252233626,,000038.SZ,19950622
214,1.0121212121212122,0.9499367972856098,0.9216395029853155,1.041162315881581,,000038.SZ,19950623
215,0.9799793601651188,0.9574510990118976,0.9163664436438498,1.0451627104963863,,000038.SZ,19950626
216,0.9857450803143036,0.9474352548036757,0.9140204390857216,1.0310943011964941,,000038.SZ,19950627
217,0.9634066351365347,0.9401044298467239,0.9209927065113364,1.0149107175328218,,000038.SZ,19950628
218,1.0024247610897161,1.0048972296693477,0.9133203378817413,0.7865916785584375,,000038.SZ,19950629
219,0.9652624575410582,0.9769626085415559,0.8925911534227058,0.7327219564061669,,000038.SZ,19950630
220,0.959210895815782,0.9400068799449605,0.8887660183438496,0.7077257776281372,,000038.SZ,19950703
221,0.9650112866817157,0.9512551282942773,0.9111799380557499,0.8888888888888888,,000038.SZ,19950704
222,0.9853083455763786,0.9492525977836848,0.9033773572508048,0.8598993026237607,,000038.SZ,19950705
223,0.9671670461013091,0.9695121951219513,0.9148384925975774,0.8972971189069668,,000038.SZ,19950706
224,1.02978414656267,0.9940119760479041,0.9442485529904863,0.9161207035662418,,000038.SZ,19950707
225,1.063822001024665,1.0204296545914069,0.9770114942528736,0.9350874935666496,,000038.SZ,19950710
226,1.0499999999999998,1.0132618510158014,0.9599999999999999,0.9261420419742737,,000038.SZ,19950711
227,1.0348037967778305,1.0196008169993191,0.9585312447363988,0.9390449160093727,,000038.SZ,19950712
228,1.055353267865681,1.0207029026750143,1.0257015192135837,0.9322287199480181,,000038.SZ,19950713
229,0.997569224265483,1.0272809722474152,1.0036150983519405,0.916941907907519,,000038.SZ,19950714
230,0.9941176470588234,1.0575642245480494,0.9941176470588234,0.9399271449944707,,000038.SZ,19950717
231,0.9940476190476192,1.04375,0.9928725401571519,0.9510440603456889,0.9532027103708403,000038.SZ,19950718
232,0.9927953890489913,1.0273484380114195,0.9752131736113508,0.9280833169064985,0.9280833169064985,000038.SZ,19950719
233,0.9904509653586115,1.045275662951929,1.0134075024960778,0.9562584118438762,0.9719229848500394,000038.SZ,19950720
234,1.0145142493908252,1.0120481927710843,1.0059880239520957,0.955625041580733,1.0499999999999998,000038.SZ,19950721
235,0.9881656804733728,0.9823529411764707,1.0024220724515585,0.9597701149425287,1.0182926829268293,000038.SZ,19950724
236,0.9940119760479041,0.9880952380952381,1.00119920993228,0.9485714285714285,1.0134237772224206,000038.SZ,19950725
