,code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000061.SZ,20210823,5.58,5.62,5.55,5.57,5.56,0.010000000000000675,0.1799,58863.03,32893.915
1,000061.SZ,20210820,5.63,5.67,5.54,5.56,5.64,-0.08000000000000007,-1.4184,72337.0,40449.284
2,000061.SZ,20210819,5.71,5.71,5.62,5.64,5.71,-0.07000000000000028,-1.2259,48123.43,27186.693
3,000061.SZ,20210818,5.68,5.73,5.65,5.71,5.71,0.0,0.0,64337.02,36558.603
4,000061.SZ,20210817,5.79,5.82,5.7,5.71,5.79,-0.08000000000000007,-1.3817,91482.28,52548.919
5,000061.SZ,20210816,5.68,5.82,5.67,5.79,5.68,0.11000000000000032,1.9366,152255.59,87948.457
6,000061.SZ,20210813,5.62,5.68,5.6,5.68,5.65,0.02999999999999936,0.531,71562.77,40390.187
7,000061.SZ,20210812,5.66,5.72,5.62,5.65,5.69,-0.040000000000000036,-0.703,76531.15,43279.531
8,000061.SZ,20210811,5.68,5.75,5.64,5.69,5.66,0.03000000000000025,0.53,88664.99,50474.549
9,000061.SZ,20210810,5.7,5.7,5.63,5.66,5.68,-0.019999999999999574,-0.3521,70193.43,39762.828
10,000061.SZ,20210809,5.61,5.72,5.59,5.68,5.59,0.08999999999999986,1.61,93914.0,53238.615
11,000061.SZ,20210806,5.66,5.68,5.58,5.59,5.68,-0.08999999999999986,-1.5845,86277.13,48367.21
12,000061.SZ,20210805,5.6,5.73,5.57,5.68,5.63,0.04999999999999982,0.8881,114564.01,64677.773
13,000061.SZ,20210804,5.69,5.71,5.6,5.63,5.72,-0.08999999999999986,-1.5734,105121.08,59248.553
14,000061.SZ,20210803,5.55,5.82,5.53,5.72,5.56,0.16000000000000014,2.8777,183265.23,104152.032
15,000061.SZ,20210802,5.55,5.59,5.46,5.56,5.55,0.009999999999999787,0.1802,90335.67,50029.594
16,000061.SZ,20210730,5.54,5.6,5.52,5.55,5.59,-0.040000000000000036,-0.7156,75723.78,41987.393
17,000061.SZ,20210729,5.6,5.6,5.51,5.59,5.6,-0.009999999999999787,-0.1786,95883.99,53194.352
18,000061.SZ,20210728,5.45,5.6,5.42,5.6,5.47,0.1299999999999999,2.3766,141395.17,78295.577
19,000061.SZ,20210727,5.44,5.52,5.39,5.47,5.46,0.009999999999999787,0.1832,63800.96,34730.502
20,000061.SZ,20210726,5.42,5.58,5.38,5.46,5.42,0.040000000000000036,0.738,74224.02,40739.187
21,000061.SZ,20210723,5.49,5.5,5.41,5.42,5.47,-0.04999999999999982,-0.9141,46621.64,25316.741
22,000061.SZ,20210722,5.46,5.49,5.42,5.47,5.45,0.019999999999999574,0.367,37942.78,20709.226
23,000061.SZ,20210721,5.5,5.51,5.44,5.45,5.47,-0.019999999999999574,-0.3656,37680.05,20585.337
24,000061.SZ,20210720,5.49,5.55,5.46,5.47,5.53,-0.0600000000000005,-1.085,33528.47,18398.802
25,000061.SZ,20210719,5.5,5.56,5.4,5.53,5.51,0.020000000000000462,0.363,56690.02,30998.754
26,000061.SZ,20210716,5.52,5.53,5.47,5.51,5.52,-0.009999999999999787,-0.1812,31093.3,17077.106
27,000061.SZ,20210715,5.54,5.59,5.5,5.52,5.55,-0.03000000000000025,-0.5405,48571.13,26893.436
28,000061.SZ,20210714,5.65,5.65,5.55,5.55,5.66,-0.11000000000000032,-1.9435,46276.83,25828.79
29,000061.SZ,20210713,5.66,5.69,5.6,5.66,5.68,-0.019999999999999574,-0.3521,65717.0,37078.081
30,000061.SZ,20210712,5.43,5.77,5.43,5.68,5.41,0.2699999999999996,4.9908,146006.97,81669.321
31,000061.SZ,20210709,5.37,5.44,5.34,5.41,5.39,0.020000000000000462,0.3711,41646.94,22450.192
32,000061.SZ,20210708,5.46,5.48,5.37,5.39,5.47,-0.08000000000000007,-1.4625,61880.23,33454.26
33,000061.SZ,20210707,5.52,5.54,5.45,5.47,5.52,-0.04999999999999982,-0.9058,37716.76,20638.814
34,000061.SZ,20210706,5.49,5.53,5.47,5.52,5.47,0.04999999999999982,0.9141,36549.63,20119.684
35,000061.SZ,20210705,5.47,5.5,5.44,5.47,5.47,0.0,0.0,26070.08,14266.592
36,000061.SZ,20210702,5.51,5.55,5.44,5.47,5.5,-0.03000000000000025,-0.5455,38651.02,21209.058
37,000061.SZ,20210701,5.52,5.55,5.49,5.5,5.52,-0.019999999999999574,-0.3623,31045.9,17146.316
38,000061.SZ,20210630,5.56,5.61,5.5,5.52,5.56,-0.040000000000000036,-0.7194,39489.9,21822.017
39,000061.SZ,20210629,5.65,5.65,5.54,5.56,5.63,-0.07000000000000028,-1.2433,40319.93,22547.801
40,000061.SZ,20210628,5.63,5.68,5.6,5.63,5.63,0.0,0.0,34517.8,19455.17
41,000061.SZ,20210625,5.6,5.63,5.57,5.63,5.59,0.040000000000000036,0.7156,41538.0,23265.238
42,000061.SZ,20210624,5.63,5.66,5.58,5.59,5.62,-0.03000000000000025,-0.5338,39591.0,22221.926
43,000061.SZ,20210623,5.6201,5.6399,5.5508,5.6201,5.6102,0.00990000000000002,0.1765,42988.61,24255.294
44,000061.SZ,20210622,5.5706,5.6794,5.5508,5.6102,5.5508,0.05940000000000012,1.0701,56684.14,32247.679
45,000061.SZ,20210621,5.5211,5.5706,5.4815,5.5508,5.5112,0.03960000000000008,0.7185,32664.59,18263.235
46,000061.SZ,20210618,5.5211,5.5409,5.442,5.5112,5.5211,-0.00990000000000002,-0.1793,38985.0,21629.479
47,000061.SZ,20210617,5.5013,5.5409,5.4914,5.5211,5.4914,0.02970000000000006,0.5408,33395.08,18607.731
48,000061.SZ,20210616,5.531,5.531,5.4618,5.4914,5.5112,-0.01980000000000004,-0.3593,36860.02,20473.644
49,000061.SZ,20210615,5.7388,5.7487,5.5112,5.5112,5.7487,-0.2375000000000007,-4.1314,92194.96,52033.781
50,000061.SZ,20210611,5.7289,5.7883,5.6992,5.7487,5.7289,0.01980000000000004,0.3456,58302.26,33868.005
51,000061.SZ,20210610,5.7091,5.7388,5.6893,5.7289,5.719,0.00990000000000002,0.1731,36287.9,20970.005
