,code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000009.SZ,20210823,26.9,27.5,25.87,27.03,26.87,0.16000000000000014,0.5955,780302.43,2087106.376
1,000009.SZ,20210820,27.39,28.15,25.9,26.87,26.88,-0.00999999999999801,-0.0372,964117.01,2588300.358
2,000009.SZ,20210819,24.46,26.88,24.29,26.88,24.44,2.4399999999999977,9.9836,755662.83,1971245.856
3,000009.SZ,20210818,23.79,25.31,23.74,24.44,23.79,0.6500000000000021,2.7322,606519.15,1492945.01
4,000009.SZ,20210817,23.9,24.7,23.61,23.79,23.59,0.1999999999999993,0.8478,810758.99,1957182.516
5,000009.SZ,20210816,24.96,24.96,23.4,23.59,25.48,-1.8900000000000006,-7.4176,724375.52,1729272.792
6,000009.SZ,20210813,24.21,26.47,24.13,25.48,24.5,0.9800000000000004,4.0,934368.91,2384042.462
7,000009.SZ,20210812,24.9,25.0,23.8,24.5,25.2,-0.6999999999999993,-2.7778,787525.44,1918681.438
8,000009.SZ,20210811,25.05,25.64,24.26,25.2,25.62,-0.4200000000000017,-1.6393,889858.67,2233253.302
9,000009.SZ,20210810,25.26,26.66,24.8,25.62,25.56,0.060000000000002274,0.2347,1123872.72,2892525.002
10,000009.SZ,20210809,26.9,26.99,24.55,25.56,26.83,-1.2699999999999996,-4.7335,969977.89,2452829.886
11,000009.SZ,20210806,27.0,27.56,26.27,26.83,25.05,1.7799999999999976,7.1058,1592371.35,4306321.114
12,000009.SZ,20210805,23.68,25.05,22.83,25.05,22.77,2.280000000000001,10.0132,1152878.85,2777010.373
13,000009.SZ,20210804,21.0,22.77,20.05,22.77,20.7,2.0700000000000003,10.0,820432.21,1803730.334
14,000009.SZ,20210803,21.83,22.09,20.55,20.7,22.26,-1.5600000000000023,-7.0081,648942.84,1375245.323
15,000009.SZ,20210802,21.92,23.34,21.36,22.26,21.22,1.0400000000000027,4.901,1001792.19,2232999.144
16,000009.SZ,20210730,21.42,23.16,20.98,21.22,21.2,0.019999999999999574,0.0943,1270116.32,2770848.135
17,000009.SZ,20210729,20.5,21.2,20.3,21.2,19.27,1.9299999999999997,10.0156,980236.75,2061878.984
18,000009.SZ,20210728,20.51,20.87,19.27,19.27,21.41,-2.1400000000000006,-9.9953,1589095.06,3166857.852
19,000009.SZ,20210727,23.4,23.53,21.12,21.41,23.17,-1.7600000000000016,-7.596,938093.99,2091246.064
20,000009.SZ,20210726,23.38,23.79,22.4,23.17,23.18,-0.00999999999999801,-0.0431,656903.13,1518652.235
21,000009.SZ,20210723,25.0,25.07,22.89,23.18,24.62,-1.4400000000000013,-5.8489,1106547.07,2645971.91
22,000009.SZ,20210722,22.76,24.62,22.75,24.62,22.38,2.240000000000002,10.0089,1237921.35,2974309.914
23,000009.SZ,20210721,21.5,22.66,21.23,22.38,21.3,1.0799999999999983,5.0704,1093552.28,2426595.778
24,000009.SZ,20210720,20.68,21.5,20.4,21.3,20.67,0.629999999999999,3.0479,748406.92,1585028.073
25,000009.SZ,20210719,21.92,22.35,20.37,20.67,21.95,-1.2799999999999976,-5.8314,1169472.74,2469776.536
26,000009.SZ,20210716,21.91,22.63,21.64,21.95,22.18,-0.23000000000000043,-1.037,750343.95,1652756.588
27,000009.SZ,20210715,21.7,22.67,21.5,22.18,22.05,0.129999999999999,0.5896,843969.36,1864142.055
28,000009.SZ,20210714,22.98,23.04,21.66,22.05,22.8,-0.75,-3.2895,1036727.77,2303000.548
29,000009.SZ,20210713,23.0,23.55,22.0,22.8,23.9,-1.0999999999999979,-4.6025,1234343.24,2811262.251
30,000009.SZ,20210712,22.6,24.04,22.1,23.9,21.98,1.9199999999999982,8.7352,1485238.22,3427826.028
31,000009.SZ,20210709,20.38,22.12,20.27,21.98,20.38,1.6000000000000014,7.8508,1622014.05,3448529.928
32,000009.SZ,20210708,19.0,20.38,19.0,20.38,18.53,1.8499999999999979,9.9838,1299575.26,2637117.823
33,000009.SZ,20210707,17.81,18.81,17.59,18.53,18.16,0.370000000000001,2.0374,1182917.51,2173091.786
34,000009.SZ,20210706,18.43,18.85,17.72,18.16,17.78,0.379999999999999,2.1372,1427188.98,2613406.733
35,000009.SZ,20210705,17.46,18.0,17.01,17.78,17.38,0.40000000000000213,2.3015,1013747.68,1792890.69
36,000009.SZ,20210702,17.39,18.13,17.28,17.38,17.35,0.029999999999997584,0.1729,825624.14,1457483.202
37,000009.SZ,20210701,18.53,18.64,17.0,17.35,18.27,-0.9199999999999982,-5.0356,1156123.98,2047201.98
38,000009.SZ,20210630,18.0,18.85,17.38,18.27,18.39,-0.120000000000001,-0.6525,846922.97,1539324.618
39,000009.SZ,20210629,18.11,18.61,17.66,18.39,18.05,0.33999999999999986,1.8837,1219490.2,2210365.175
40,000009.SZ,20210628,16.71,18.05,16.71,18.05,16.41,1.6400000000000006,9.9939,1256444.12,2230971.767
41,000009.SZ,20210625,15.8,16.7,15.8,16.41,15.89,0.5199999999999996,3.2725,1191265.09,1948754.556
