,code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
4814,000159.SZ,20000926,,,,,,,,530711.0,971599.8346
4813,000159.SZ,20000927,,,,,,,,264356.0,523892.037
4812,000159.SZ,20000928,,,,,,,,148038.0,299729.3408
4811,000159.SZ,20000929,,,,,,,,132476.0,281719.2186
4810,000159.SZ,20001009,,,,,,,,124183.0,270268.6142
4809,000159.SZ,20001010,,,,,,,,78075.0,175306.3697
4808,000159.SZ,20001011,,,,,,,,69680.0,153059.1568
4807,000159.SZ,20001012,,,,,,,,43490.0,95578.6805
4806,000159.SZ,20001013,,,,,,,,57923.0,131544.5938
4805,000159.SZ,20001016,,,,,,,,63537.0,137216.6338
4804,000159.SZ,20001017,,,,,,,,28852.0,61484.6793
4803,000159.SZ,20001018,,,,,,,,41508.0,86530.4251
4802,000159.SZ,20001019,,,,,,,,24438.0,51701.7154
4801,000159.SZ,20001020,,,,,,,,39581.0,82227.7332
4800,000159.SZ,20001023,,,,,,,,29711.0,64123.8451
4799,000159.SZ,20001024,,,,,,,,36157.0,79292.2005
4798,000159.SZ,20001025,,,,,,,,75444.0,171639.4962
4797,000159.SZ,20001026,,,,,,,,29767.0,66061.0451
4796,000159.SZ,20001027,,,,,,,,25712.0,56016.3894
4795,000159.SZ,20001030,,,,,,,,14683.0,32026.4627
4794,000159.SZ,20001031,,,,,,,,24580.0,54966.157
4793,000159.SZ,20001101,,,,,,,,49230.0,112537.4242
4792,000159.SZ,20001102,,,,,,,,42001.0,97349.1908
4791,000159.SZ,20001103,,,,,,,,28938.0,67021.6065
4790,000159.SZ,20001106,,,,,,,,28283.0,66967.9262
4789,000159.SZ,20001107,,,,,,,,17554.0,41114.1682
4788,000159.SZ,20001108,,,,,,,,22453.0,53277.4488
4787,000159.SZ,20001109,,,,,,,,56062.0,129431.593
4786,000159.SZ,20001110,,,,,,,,33942.0,77843.6196
4785,000159.SZ,20001113,,,,,,,,22781.0,52336.8591
4784,000159.SZ,20001114,,,,,,,,21970.0,51787.1814
4783,000159.SZ,20001115,,,,,,,,27471.0,65282.1005
4782,000159.SZ,20001116,,,,,,,,19516.0,45250.765
4781,000159.SZ,20001117,,,,,,,,15464.0,35617.9817
4780,000159.SZ,20001120,,,,,,,,17337.9,39638.9369
4779,000159.SZ,20001121,,,,,,,,13225.86,30252.1823
4778,000159.SZ,20001122,,,,,,,,15253.32,34762.2534
4777,000159.SZ,20001123,,,,,,,,12029.13,27677.0993
4776,000159.SZ,20001124,,,,,,,,22974.29,51585.93
4775,000159.SZ,20001127,,,,,,,,12748.63,27851.1522
4774,000159.SZ,20001128,,,,,,,,18121.58,40777.9892
4773,000159.SZ,20001129,,,,,,,,15612.62,34851.3575
4772,000159.SZ,20001130,,,,,,,,8641.67,19116.822
4771,000159.SZ,20001201,,,,,,,,9986.76,22064.1058
4770,000159.SZ,20001204,,,,,,,,7804.83,17435.8821
4769,000159.SZ,20001205,,,,,,,,5694.3,12678.8358
4768,000159.SZ,20001206,,,,,,,,13040.0,28536.3593
4767,000159.SZ,20001207,,,,,,,,7355.15,15974.0019
4766,000159.SZ,20001208,,,,,,,,6090.19,13196.0464
4765,000159.SZ,20001211,,,,,,,,15775.08,33085.3812
4764,000159.SZ,20001212,,,,,,,,7217.74,15148.0793
4763,000159.SZ,20001213,,,,,,,,6178.79,12944.4388
4762,000159.SZ,20001214,,,,,,,,5808.74,12352.4121
4761,000159.SZ,20001215,,,,,,,,3709.73,7889.8209
4760,000159.SZ,20001218,,,,,,,,8422.02,17953.2456
4759,000159.SZ,20001219,,,,,,,,6292.58,13714.5536
4758,000159.SZ,20001220,,,,,,,,7291.35,16017.8452
4757,000159.SZ,20001221,,,,,,,,8604.49,19155.8926
4756,000159.SZ,20001222,,,,,,,,10463.97,22639.304
4755,000159.SZ,20001225,,,,,,,,11900.44,25371.8546
4754,000159.SZ,20001226,,,,,,,,7368.38,15718.325
4753,000159.SZ,20001227,,,,,,,,5264.75,11279.7501
4752,000159.SZ,20001228,,,,,,,,7895.62,16834.5483
4751,000159.SZ,20001229,,,,,,,,5236.76,11294.5931
4750,000159.SZ,20010102,,,,,,,,11192.67,24936.3497
4749,000159.SZ,20010103,,,,,,,,12396.87,27807.9625
4748,000159.SZ,20010104,,,,,,,,8427.86,18933.7689
4747,000159.SZ,20010105,,,,,,,,8115.54,18284.5435
4746,000159.SZ,20010108,,,,,,,,9159.78,20496.6453
4745,000159.SZ,20010109,,,,,,,,13081.84,29737.6227
4744,000159.SZ,20010110,,,,,,,,16715.83,38571.2014
4743,000159.SZ,20010111,7.2184,7.4051,7.1749,7.1998,7.1717,0.028099999999999348,0.3918,21372.61,50105.9811
4742,000159.SZ,20010112,7.1717,7.2184,7.0317,7.0504,7.1998,-0.14939999999999998,-2.0751,9353.61,21330.3695
4741,000159.SZ,20010115,7.0006,7.0006,6.7984,6.8077,7.0504,-0.24270000000000014,-3.4424,12049.1,26669.7772
4740,000159.SZ,20010116,6.7362,6.8451,6.5339,6.7984,6.8077,-0.009299999999999642,-0.1366,9604.93,20722.0054
4739,000159.SZ,20010117,6.7828,6.8451,6.6895,6.6926,6.7984,-0.10580000000000034,-1.5562,5840.75,12676.3449
4738,000159.SZ,20010118,6.6739,6.7735,6.6335,6.733,6.6926,0.04039999999999999,0.6037,4430.87,9573.4419
4737,000159.SZ,20010119,6.7206,6.8668,6.7206,6.8202,6.733,0.08720000000000017,1.2951,4920.8,10796.8102
4736,000159.SZ,20010205,6.8233,6.8233,6.4966,6.5152,6.8202,-0.3049999999999997,-4.472,7907.98,16805.8186
4735,000159.SZ,20010206,6.4748,6.4748,6.0672,6.341,6.5152,-0.1741999999999999,-2.6737,12554.5,25283.5211
4734,000159.SZ,20010207,6.341,6.3783,6.1543,6.173,6.341,-0.16800000000000015,-2.6494,6045.42,12066.4357
4733,000159.SZ,20010208,6.1917,6.313,6.0952,6.1232,6.173,-0.04980000000000029,-0.8067,4515.1,8978.3197
4732,000159.SZ,20010209,6.1357,6.313,6.1357,6.2197,6.1232,0.09649999999999981,1.576,5737.62,11437.4272
4731,000159.SZ,20010213,6.2539,6.3659,6.2228,6.2352,6.2197,0.015500000000000291,0.2492,3645.3,7368.1886
4730,000159.SZ,20010214,6.2539,6.341,6.2228,6.285,6.2352,0.04980000000000029,0.7987,2574.05,5193.5809
4729,000159.SZ,20010215,6.2912,6.3317,6.1605,6.2072,6.285,-0.07779999999999987,-1.2379,2568.0,5147.1018
4728,000159.SZ,20010216,6.1917,6.1917,5.9988,6.1668,6.2072,-0.04039999999999999,-0.6509,5251.83,10265.7632
4727,000159.SZ,20010219,6.1232,6.2259,6.0641,6.2166,6.1668,0.0497999999999994,0.8076,2809.35,5554.9229
4726,000159.SZ,20010220,6.2103,6.285,6.1139,6.1574,6.2166,-0.0591999999999997,-0.9523,5609.16,11146.0415
4725,000159.SZ,20010221,6.1605,6.1605,5.8525,5.9085,6.1574,-0.2488999999999999,-4.0423,12917.67,24705.5166
4724,000159.SZ,20010222,5.7872,5.9676,5.7872,5.8214,5.9085,-0.0871000000000004,-1.4741,3803.5,7173.8197
4723,000159.SZ,20010223,5.8214,6.005,5.7903,5.9521,5.8214,0.13070000000000004,2.2452,2895.91,5485.507
4722,000159.SZ,20010226,5.9894,6.0361,5.9583,6.0299,5.9521,0.07779999999999987,1.3071,2871.83,5533.0093
4721,000159.SZ,20010227,6.0361,6.0579,5.9739,6.033,6.0299,0.003100000000000769,0.0514,2770.87,5356.7084
4720,000159.SZ,20010228,6.0672,6.0672,5.9459,5.9739,6.033,-0.05909999999999993,-0.9796,2814.57,5426.818
4719,000159.SZ,20010301,6.0019,6.0703,5.949,6.0703,5.9739,0.09639999999999915,1.6137,2557.72,4960.2905
4718,000159.SZ,20010302,6.0983,6.2072,6.0921,6.1917,6.0703,0.1214000000000004,1.9999,6083.37,12068.4146
4717,000159.SZ,20010305,6.2228,6.2383,6.1294,6.1481,6.1917,-0.04359999999999964,-0.7042,2670.97,5296.5986
4716,000159.SZ,20010306,6.1481,6.1761,6.1201,6.1637,6.1481,0.015600000000000058,0.2537,3779.97,7454.0047
4715,000159.SZ,20010307,6.1699,6.1792,6.1294,6.1294,6.1637,-0.0343,-0.5565,4491.5,8867.1704
4714,000159.SZ,20010308,6.1232,6.1605,5.9739,6.0019,6.1294,-0.1275000000000004,-2.0801,11038.4,21565.5949
4713,000159.SZ,20010309,6.005,6.0921,5.9832,6.0174,6.0019,0.015500000000000291,0.2583,5620.88,10877.7583
4712,000159.SZ,20010312,6.0081,6.2197,5.9521,6.201,6.0174,0.18359999999999932,3.0512,5551.9,10760.9261
4711,000159.SZ,20010313,6.201,6.3535,6.1294,6.3161,6.201,0.11509999999999998,1.8562,11906.78,24052.2604
4710,000159.SZ,20010314,6.2819,6.3752,6.2352,6.2974,6.3161,-0.01869999999999994,-0.2961,4393.49,8909.9432
