,code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
4999,000151.SZ,20001031,,,,,,,,16996.0,31005.4671
4998,000151.SZ,20001101,,,,,,,,9163.0,16488.0376
4997,000151.SZ,20001102,,,,,,,,8947.0,16153.4063
4996,000151.SZ,20001103,,,,,,,,8624.0,15444.703
4995,000151.SZ,20001106,,,,,,,,11558.0,21101.5646
4994,000151.SZ,20001107,,,,,,,,35467.0,66764.9882
4993,000151.SZ,20001108,,,,,,,,41103.0,79165.9382
4992,000151.SZ,20001109,,,,,,,,21677.0,41467.8916
4991,000151.SZ,20001110,,,,,,,,21141.0,39947.4891
4990,000151.SZ,20001113,,,,,,,,15485.0,29381.251
4989,000151.SZ,20001114,,,,,,,,23331.0,44947.9663
4988,000151.SZ,20001115,,,,,,,,32821.0,64685.4209
4987,000151.SZ,20001116,,,,,,,,18707.0,36935.0284
4986,000151.SZ,20001117,,,,,,,,14282.0,27929.8765
4985,000151.SZ,20001120,,,,,,,,14986.63,29415.1234
4984,000151.SZ,20001121,,,,,,,,38219.09,77816.0696
4983,000151.SZ,20001122,,,,,,,,23302.11,48193.8516
4982,000151.SZ,20001123,,,,,,,,20164.54,41408.8231
4981,000151.SZ,20001124,,,,,,,,32563.23,65324.8624
4980,000151.SZ,20001127,,,,,,,,29492.14,59053.2419
4979,000151.SZ,20001128,,,,,,,,57522.64,122182.8148
4978,000151.SZ,20001129,,,,,,,,24154.37,51156.137
4977,000151.SZ,20001130,,,,,,,,19559.51,41851.01
4976,000151.SZ,20001201,,,,,,,,20488.87,44259.8612
4975,000151.SZ,20001204,,,,,,,,27607.19,61411.1984
4974,000151.SZ,20001205,,,,,,,,21893.2,48980.5265
4973,000151.SZ,20001206,,,,,,,,25571.0,56149.9974
4972,000151.SZ,20001207,,,,,,,,14015.83,30388.8759
4971,000151.SZ,20001208,,,,,,,,16630.78,36803.3087
4970,000151.SZ,20001211,,,,,,,,18027.41,38625.4716
4969,000151.SZ,20001212,,,,,,,,15863.3,33399.806
4968,000151.SZ,20001213,,,,,,,,7414.4,15637.3266
4967,000151.SZ,20001214,,,,,,,,5263.55,11164.8759
4966,000151.SZ,20001215,,,,,,,,12537.65,26119.6067
4965,000151.SZ,20001218,,,,,,,,12950.36,26629.0399
4964,000151.SZ,20001219,,,,,,,,8893.2,18629.2294
4963,000151.SZ,20001220,,,,,,,,14978.99,32343.4447
4962,000151.SZ,20001221,,,,,,,,14270.33,31460.2679
4961,000151.SZ,20001222,,,,,,,,8639.88,18797.1835
4960,000151.SZ,20001226,,,,,,,,21845.54,49357.6985
4959,000151.SZ,20001227,,,,,,,,8973.29,20132.0944
4958,000151.SZ,20001228,,,,,,,,12327.89,27650.9282
4957,000151.SZ,20001229,,,,,,,,13027.9,29379.7726
4956,000151.SZ,20010102,,,,,,,,8212.27,18700.1973
4955,000151.SZ,20010103,,,,,,,,17528.8,40152.765
4954,000151.SZ,20010104,,,,,,,,14460.07,32576.7328
4953,000151.SZ,20010105,,,,,,,,11659.78,25950.1889
4952,000151.SZ,20010108,,,,,,,,11163.85,24785.7222
4951,000151.SZ,20010109,,,,,,,,5571.2,12400.4753
4950,000151.SZ,20010110,,,,,,,,9095.59,20525.7172
4949,000151.SZ,20010111,8.3255,8.543,8.2204,8.2639,8.2929,-0.028999999999999915,-0.3497,22501.2,52023.626
4948,000151.SZ,20010112,8.2095,8.2639,8.0464,8.05,8.2639,-0.21389999999999887,-2.5884,12239.25,27337.2283
4947,000151.SZ,20010115,7.9775,8.0029,7.394,7.4991,8.05,-0.5509000000000004,-6.8435,20121.85,42784.9363
4946,000151.SZ,20010116,7.4918,7.6115,7.394,7.6115,7.4991,0.11240000000000006,1.4988,9632.27,19951.1074
4945,000151.SZ,20010117,7.6115,7.6115,7.4121,7.4339,7.6115,-0.17759999999999998,-2.3333,5942.37,12292.3182
4944,000151.SZ,20010118,7.423,7.5933,7.4121,7.481,7.4339,0.047099999999999476,0.6336,4925.75,10201.3584
4943,000151.SZ,20010119,7.4846,7.597,7.4846,7.5752,7.481,0.09419999999999984,1.2592,7536.96,15718.0778
4942,000151.SZ,20010205,7.5752,7.6078,7.1584,7.1693,7.5752,-0.4058999999999999,-5.3583,11817.0,23826.7045
