,date,open,high,low,close,volume
0,2021-07-21,0.986,0.992,0.975,0.977,57601709
1,2021-07-22,0.982,0.998,0.982,0.995,19392475
2,2021-07-23,0.995,0.995,0.975,0.977,5089938
3,2021-07-26,0.974,0.974,0.916,0.919,10865836
4,2021-07-27,0.919,0.919,0.857,0.857,11793866
5,2021-07-28,0.857,0.883,0.852,0.87,8555569
6,2021-07-29,0.897,0.914,0.878,0.91,9924697
7,2021-07-30,0.913,0.913,0.88,0.89,4214364
8,2021-08-02,0.892,0.912,0.877,0.909,3368530
9,2021-08-03,0.909,0.915,0.894,0.91,7088124
10,2021-08-04,0.908,0.919,0.898,0.916,3167540
11,2021-08-05,0.901,0.911,0.891,0.891,3500958
12,2021-08-06,0.891,0.898,0.891,0.896,1485716
13,2021-08-09,0.89,0.915,0.883,0.915,4528546
14,2021-08-10,0.915,0.94,0.902,0.94,3605319
15,2021-08-11,0.94,0.94,0.924,0.926,2478210
16,2021-08-12,0.922,0.929,0.912,0.913,2589915
17,2021-08-13,0.912,0.912,0.892,0.896,3035331
18,2021-08-16,0.895,0.896,0.883,0.887,1927013
19,2021-08-17,0.885,0.886,0.862,0.863,3089224
20,2021-08-18,0.871,0.879,0.863,0.87,2686918
21,2021-08-19,0.875,0.879,0.863,0.864,1906931
22,2021-08-20,0.864,0.864,0.781,0.852,2253221
23,2021-08-23,0.859,0.875,0.859,0.871,1216513
