,date,open,high,low,close,volume
0,2021-07-06,0.97,0.97,0.927,0.943,151998041
1,2021-07-07,0.941,0.979,0.93,0.975,94861055
2,2021-07-08,0.976,0.987,0.973,0.977,64915100
3,2021-07-09,0.978,0.979,0.943,0.966,62918700
4,2021-07-12,0.975,0.995,0.961,0.99,74685410
5,2021-07-13,0.985,0.997,0.975,0.985,52226100
6,2021-07-14,0.985,0.994,0.972,0.981,62818600
7,2021-07-15,0.981,0.99,0.971,0.988,74309800
8,2021-07-16,0.985,0.986,0.958,0.962,94569500
9,2021-07-19,0.96,0.972,0.955,0.964,65182600
10,2021-07-20,0.956,0.974,0.955,0.969,61950900
11,2021-07-21,0.969,0.995,0.968,0.991,117616920
12,2021-07-22,0.99,0.997,0.98,0.986,66804100
13,2021-07-23,0.986,0.986,0.959,0.964,86067400
14,2021-07-26,0.956,0.96,0.905,0.934,132223200
15,2021-07-27,0.93,0.948,0.906,0.913,106065200
16,2021-07-28,0.9,0.92,0.88,0.913,81518000
17,2021-07-29,0.923,0.965,0.922,0.961,121839200
18,2021-07-30,0.961,0.971,0.945,0.961,71172700
19,2021-08-02,0.954,0.972,0.942,0.966,69237000
20,2021-08-03,0.965,0.974,0.955,0.963,62615200
21,2021-08-04,0.96,0.982,0.954,0.98,93630800
22,2021-08-05,0.976,0.993,0.971,0.982,72675300
23,2021-08-06,0.981,0.989,0.965,0.972,61133600
24,2021-08-09,0.962,0.964,0.947,0.957,67372800
25,2021-08-10,0.956,0.964,0.95,0.96,58181400
26,2021-08-11,0.959,0.962,0.948,0.951,60391400
27,2021-08-12,0.951,0.953,0.935,0.939,70251500
28,2021-08-13,0.94,0.941,0.914,0.917,90296700
29,2021-08-16,0.92,0.921,0.904,0.91,73914700
30,2021-08-17,0.91,0.915,0.883,0.888,102895000
31,2021-08-18,0.89,0.897,0.882,0.889,66121700
32,2021-08-19,0.899,0.901,0.886,0.894,51034600
33,2021-08-20,0.89,0.891,0.861,0.869,96986700
34,2021-08-23,0.87,0.899,0.869,0.897,90132685
