,date,open,high,low,close,volume
0,2021-06-04,0.971,1.0,0.97,0.981,16156785
1,2021-06-07,0.978,0.983,0.968,0.98,17803186
2,2021-06-08,0.981,0.992,0.961,0.97,14690188
3,2021-06-09,0.966,0.976,0.961,0.969,7220417
4,2021-06-10,0.969,0.973,0.966,0.972,7858301
5,2021-06-11,0.968,0.976,0.956,0.959,5161394
6,2021-06-15,0.959,0.966,0.949,0.952,4007557
7,2021-06-16,0.952,0.952,0.921,0.922,6498338
8,2021-06-17,0.92,0.938,0.92,0.934,3471760
9,2021-06-18,0.934,0.956,0.934,0.954,4249687
10,2021-06-21,0.95,0.977,0.945,0.975,10410443
11,2021-06-22,0.975,0.992,0.966,0.989,7501243
12,2021-06-23,0.989,0.994,0.976,0.985,4792382
13,2021-06-24,0.995,0.995,0.961,0.97,3569613
14,2021-06-25,0.97,0.996,0.968,0.991,11458754
15,2021-06-28,0.996,1.015,0.996,1.014,73394752
16,2021-06-29,1.014,1.02,1.006,1.019,39798099
17,2021-06-30,1.015,1.018,1.007,1.011,16551113
18,2021-07-01,1.015,1.029,1.01,1.02,42659527
19,2021-07-02,1.02,1.02,0.981,0.982,15323076
20,2021-07-05,0.982,1.007,0.975,0.997,14577744
21,2021-07-06,1.0,1.0,0.951,0.968,13511068
22,2021-07-07,0.968,1.0,0.968,0.998,4722541
23,2021-07-08,0.997,1.002,0.976,0.978,5104903
24,2021-07-09,0.981,0.981,0.95,0.97,5156040
25,2021-07-12,0.974,0.99,0.963,0.985,4067015
26,2021-07-13,0.985,0.995,0.976,0.985,1799789
27,2021-07-14,0.985,1.003,0.977,0.995,5955504
28,2021-07-15,1.003,1.005,0.98,0.991,2005513
29,2021-07-16,0.983,0.989,0.967,0.969,4741401
30,2021-07-19,0.969,0.981,0.963,0.975,1965712
31,2021-07-20,0.97,0.989,0.97,0.979,2709403
32,2021-07-21,0.979,0.987,0.975,0.983,2344551
33,2021-07-22,0.983,0.983,0.963,0.965,3223431
34,2021-07-23,0.97,0.97,0.929,0.932,10678712
35,2021-07-26,0.93,0.93,0.87,0.885,11995512
36,2021-07-27,0.886,0.898,0.867,0.867,3985807
37,2021-07-28,0.866,0.891,0.86,0.89,3555215
38,2021-07-29,0.895,0.916,0.895,0.903,6214214
39,2021-07-30,0.901,0.901,0.874,0.896,2935603
40,2021-08-02,0.903,0.91,0.875,0.907,3661263
41,2021-08-03,0.908,0.946,0.9,0.941,7593120
42,2021-08-04,0.938,0.938,0.916,0.929,4924035
43,2021-08-05,0.929,0.929,0.912,0.918,2502600
44,2021-08-06,0.918,0.92,0.888,0.896,12408003
45,2021-08-09,0.897,0.905,0.887,0.902,3484544
46,2021-08-10,0.902,0.917,0.892,0.916,6677911
47,2021-08-11,0.916,0.916,0.895,0.897,5070305
48,2021-08-12,0.897,0.905,0.886,0.887,3459512
49,2021-08-13,0.888,0.897,0.879,0.884,1930003
50,2021-08-16,0.885,0.901,0.882,0.894,2119301
51,2021-08-17,0.896,0.896,0.865,0.879,4815709
52,2021-08-18,0.876,0.883,0.867,0.871,2969309
53,2021-08-19,0.872,0.883,0.867,0.871,2306307
54,2021-08-20,0.867,0.868,0.806,0.815,11792537
55,2021-08-23,0.815,0.827,0.806,0.823,5587050
