,date,open,high,low,close,volume
0,2021-05-25,0.999,1.003,0.983,1.002,85352895
1,2021-05-26,1.007,1.008,1.0,1.004,43985808
2,2021-05-27,1.005,1.008,0.999,1.007,60330476
3,2021-05-28,1.008,1.009,0.986,0.99,38059620
4,2021-05-31,0.992,1.001,0.99,1.001,30535499
5,2021-06-01,1.003,1.027,1.003,1.026,90291563
6,2021-06-02,1.026,1.035,1.019,1.022,25744965
7,2021-06-03,1.02,1.031,1.013,1.015,24764354
8,2021-06-04,1.014,1.019,1.005,1.011,14312546
9,2021-06-07,1.014,1.014,0.998,1.005,17284743
10,2021-06-08,1.001,1.007,0.991,0.993,12465950
11,2021-06-09,0.993,0.998,0.99,0.991,8025925
12,2021-06-10,0.994,0.999,0.989,0.991,13335920
13,2021-06-11,0.994,1.003,0.992,0.993,12475018
14,2021-06-15,0.994,1.001,0.983,0.991,15009058
15,2021-06-16,0.991,0.991,0.98,0.981,8804724
16,2021-06-17,0.981,0.986,0.974,0.986,13187487
17,2021-06-18,0.99,1.011,0.98,1.004,17061437
18,2021-06-21,1.003,1.003,0.99,0.998,7472831
19,2021-06-22,0.997,0.998,0.986,0.988,5443119
20,2021-06-23,0.99,1.01,0.99,1.008,14020427
21,2021-06-24,1.007,1.016,1.007,1.012,10889917
22,2021-06-25,1.014,1.037,1.014,1.034,20248967
23,2021-06-28,1.036,1.043,1.032,1.036,8915908
24,2021-06-29,1.036,1.045,1.026,1.027,9904684
25,2021-06-30,1.03,1.036,1.024,1.027,6170538
26,2021-07-01,1.024,1.028,1.019,1.019,2589720
27,2021-07-02,1.018,1.018,0.993,0.995,11666116
28,2021-07-05,0.996,0.996,0.968,0.973,11287806
29,2021-07-06,0.975,0.975,0.956,0.965,20448803
30,2021-07-07,0.964,0.964,0.95,0.956,14947503
31,2021-07-08,0.958,0.958,0.927,0.93,30421143
32,2021-07-09,0.93,0.944,0.908,0.94,28848312
33,2021-07-12,0.95,0.955,0.94,0.95,26225106
34,2021-07-13,0.95,0.973,0.95,0.968,28356008
35,2021-07-14,0.968,0.975,0.967,0.968,16606906
36,2021-07-15,0.969,0.972,0.965,0.966,16136204
37,2021-07-16,0.968,0.968,0.956,0.959,12720100
38,2021-07-19,0.959,0.959,0.938,0.941,15977911
39,2021-07-20,0.942,0.944,0.924,0.928,27286702
40,2021-07-21,0.93,0.935,0.921,0.924,17580804
41,2021-07-22,0.93,0.943,0.929,0.94,20353600
42,2021-07-23,0.94,0.942,0.924,0.925,14161707
43,2021-07-26,0.91,0.91,0.858,0.871,52402910
44,2021-07-27,0.862,0.862,0.8,0.8,40365240
45,2021-07-28,0.81,0.828,0.79,0.809,84913504
46,2021-07-29,0.842,0.874,0.842,0.867,77722903
47,2021-07-30,0.864,0.864,0.834,0.844,62176903
48,2021-08-02,0.844,0.865,0.842,0.854,36093605
49,2021-08-03,0.857,0.858,0.829,0.846,15637503
50,2021-08-04,0.846,0.871,0.835,0.864,25891401
51,2021-08-05,0.86,0.87,0.843,0.844,14873306
52,2021-08-06,0.846,0.85,0.839,0.848,5956600
53,2021-08-09,0.845,0.85,0.831,0.842,15165600
54,2021-08-10,0.85,0.86,0.844,0.86,14270300
55,2021-08-11,0.859,0.866,0.854,0.859,10451700
56,2021-08-12,0.859,0.859,0.846,0.848,7940012
57,2021-08-13,0.848,0.848,0.826,0.83,16136305
58,2021-08-16,0.83,0.83,0.81,0.813,25578707
59,2021-08-17,0.805,0.81,0.782,0.787,35144904
60,2021-08-18,0.791,0.795,0.784,0.79,14876600
61,2021-08-19,0.792,0.792,0.771,0.772,18632522
62,2021-08-20,0.77,0.77,0.736,0.75,40340045
63,2021-08-23,0.76,0.778,0.757,0.763,19069902
