,date,open,high,low,close,volume
0,2021-07-02,0.994,0.994,0.974,0.976,23731488
1,2021-07-05,0.976,0.985,0.959,0.962,17697329
2,2021-07-06,0.962,0.973,0.953,0.973,6770024
3,2021-07-07,0.976,0.98,0.973,0.977,16810293
4,2021-07-08,0.977,0.977,0.952,0.954,9399876
5,2021-07-09,0.954,0.956,0.943,0.948,7010281
6,2021-07-12,0.95,0.962,0.946,0.958,14664177
7,2021-07-13,0.957,0.97,0.957,0.967,12255608
8,2021-07-14,0.969,0.969,0.955,0.962,14013255
9,2021-07-15,0.963,0.974,0.955,0.97,10530014
10,2021-07-16,0.972,0.975,0.968,0.968,11350368
11,2021-07-19,0.976,0.977,0.959,0.976,12890530
12,2021-07-20,0.976,0.976,0.964,0.968,11659537
13,2021-07-21,0.968,0.972,0.961,0.963,14338866
14,2021-07-22,0.968,0.973,0.962,0.969,12239856
15,2021-07-23,0.969,0.969,0.95,0.954,12879354
16,2021-07-26,0.955,0.955,0.905,0.912,13206364
17,2021-07-27,0.913,0.917,0.873,0.875,15382356
18,2021-07-28,0.875,0.879,0.858,0.876,7502179
19,2021-07-29,0.879,0.892,0.876,0.878,14483112
20,2021-07-30,0.879,0.88,0.854,0.865,12813340
21,2021-08-02,0.865,0.894,0.851,0.892,7082705
22,2021-08-03,0.892,0.908,0.88,0.907,15019724
23,2021-08-04,0.908,0.908,0.895,0.9,10448904
24,2021-08-05,0.899,0.908,0.88,0.892,9714402
25,2021-08-06,0.892,0.901,0.88,0.888,10791422
26,2021-08-09,0.882,0.919,0.88,0.915,13594232
27,2021-08-10,0.915,0.935,0.906,0.933,26383605
28,2021-08-11,0.934,0.948,0.93,0.933,11228931
29,2021-08-12,0.933,0.934,0.918,0.918,13337553
30,2021-08-13,0.918,0.923,0.913,0.922,11405160
31,2021-08-16,0.922,0.933,0.92,0.929,10634511
32,2021-08-17,0.929,0.933,0.904,0.907,6894110
33,2021-08-18,0.906,0.922,0.899,0.918,10695807
34,2021-08-19,0.919,0.92,0.902,0.904,11859850
35,2021-08-20,0.904,0.904,0.871,0.88,11507305
36,2021-08-23,0.882,0.891,0.88,0.889,10122712
