,date,open,high,low,close,volume
0,2021-07-07,0.986,1.029,0.983,1.019,126425918
1,2021-07-08,1.017,1.028,1.004,1.005,22436329
2,2021-07-09,0.98,1.013,0.979,1.008,17547531
3,2021-07-12,1.008,1.047,0.996,1.044,36710874
4,2021-07-13,1.055,1.057,1.034,1.051,29808023
5,2021-07-14,1.051,1.088,1.045,1.068,28081675
6,2021-07-15,1.068,1.073,1.055,1.071,26246854
7,2021-07-16,1.07,1.075,1.053,1.062,30801484
8,2021-07-19,1.061,1.093,1.061,1.081,24443226
9,2021-07-20,1.083,1.102,1.076,1.084,22989190
10,2021-07-21,1.084,1.105,1.076,1.102,25027159
11,2021-07-22,1.102,1.104,1.059,1.064,31864995
12,2021-07-23,1.066,1.066,1.027,1.03,26675221
13,2021-07-26,1.029,1.029,0.95,0.974,28426552
14,2021-07-27,0.972,0.983,0.953,0.955,27339525
15,2021-07-28,0.955,0.982,0.94,0.982,18804815
16,2021-07-29,0.984,1.019,0.984,1.01,21087356
17,2021-07-30,1.01,1.014,0.982,1.01,27391928
18,2021-08-02,1.03,1.03,0.978,1.021,28056959
19,2021-08-03,1.021,1.077,1.013,1.074,38686228
20,2021-08-04,1.08,1.082,1.051,1.074,33451554
21,2021-08-05,1.073,1.089,1.06,1.072,33541953
22,2021-08-06,1.06,1.061,1.016,1.024,33693233
23,2021-08-09,1.028,1.028,1.006,1.02,25617820
24,2021-08-10,1.022,1.03,1.011,1.026,23724311
25,2021-08-11,1.023,1.023,1.001,1.002,27780115
26,2021-08-12,1.0,1.005,0.982,0.99,28515300
27,2021-08-13,0.995,0.998,0.976,0.984,27091302
28,2021-08-16,0.974,0.989,0.973,0.975,23097901
29,2021-08-17,0.975,0.981,0.928,0.935,37935902
30,2021-08-18,0.94,0.95,0.931,0.936,27862800
31,2021-08-19,0.936,0.953,0.936,0.946,24853100
32,2021-08-20,0.946,0.946,0.895,0.905,34459406
33,2021-08-23,0.902,0.934,0.899,0.931,30847606
