,date,open,high,low,close,volume
0,2021-07-01,1.031,1.038,1.009,1.01,52637482
1,2021-07-02,1.01,1.01,0.994,1.0,9528583
2,2021-07-05,0.999,1.008,0.992,1.004,4973730
3,2021-07-06,1.003,1.014,0.987,1.0,8823464
4,2021-07-07,1.0,1.015,0.985,1.01,14985179
5,2021-07-08,1.005,1.03,1.002,1.022,25697176
6,2021-07-09,1.025,1.025,0.995,1.016,10544899
7,2021-07-12,1.018,1.044,1.018,1.039,25047419
8,2021-07-13,1.039,1.039,1.022,1.03,10219133
9,2021-07-14,1.021,1.022,1.0,1.003,12182433
10,2021-07-15,0.999,1.003,0.975,0.997,13778934
11,2021-07-16,0.995,0.999,0.985,0.987,7366020
12,2021-07-19,0.98,0.992,0.975,0.988,9141421
13,2021-07-20,0.988,0.998,0.978,0.998,6621712
14,2021-07-21,0.998,1.017,0.998,1.01,13545177
15,2021-07-22,1.015,1.015,0.998,1.007,12206532
16,2021-07-23,1.003,1.008,0.993,0.997,9392488
17,2021-07-26,0.998,0.998,0.959,0.972,7939222
18,2021-07-27,0.977,0.988,0.961,0.963,8737720
19,2021-07-28,0.963,0.963,0.924,0.942,7461515
20,2021-07-29,0.945,0.971,0.945,0.97,3920405
21,2021-07-30,0.96,0.99,0.96,0.981,9676309
22,2021-08-02,0.98,1.009,0.98,1.007,11095929
23,2021-08-03,1.009,1.02,0.994,0.995,11795166
24,2021-08-04,0.993,1.024,0.993,1.02,16856407
25,2021-08-05,1.02,1.023,1.006,1.012,7897000
26,2021-08-06,1.012,1.026,1.01,1.012,6280469
27,2021-08-09,1.009,1.019,0.996,1.013,6585696
28,2021-08-10,1.013,1.029,1.007,1.019,7100692
29,2021-08-11,1.016,1.023,1.008,1.015,6559241
30,2021-08-12,1.011,1.027,1.01,1.022,10530310
31,2021-08-13,1.022,1.028,1.004,1.009,4297135
32,2021-08-16,1.003,1.004,0.985,0.986,6481035
33,2021-08-17,0.982,0.992,0.965,0.97,3542503
34,2021-08-18,0.973,0.977,0.962,0.973,2246513
35,2021-08-19,0.973,0.986,0.97,0.978,2840201
36,2021-08-20,0.971,0.978,0.961,0.976,5340927
37,2021-08-23,0.976,1.002,0.976,1.0,4448124
