,date,open,high,low,close,volume
0,2021-06-28,0.977,1.0,0.977,0.993,15314903
1,2021-06-29,1.001,1.01,0.994,0.996,13451174
2,2021-06-30,0.996,1.008,0.992,1.007,17230976
3,2021-07-01,1.005,1.009,0.996,0.998,13549931
4,2021-07-02,0.998,0.998,0.975,0.976,7089207
5,2021-07-05,0.979,0.989,0.975,0.982,4839620
6,2021-07-06,0.979,0.994,0.974,0.982,5405714
7,2021-07-07,0.99,0.99,0.965,0.982,6653552
8,2021-07-08,0.988,0.998,0.985,0.995,10099037
9,2021-07-09,0.995,0.995,0.969,0.982,7053273
10,2021-07-12,0.997,1.016,0.98,1.016,42178100
11,2021-07-13,1.022,1.045,1.019,1.027,48556182
12,2021-07-14,1.021,1.034,1.02,1.021,27775571
13,2021-07-15,1.01,1.023,1.007,1.016,8432077
14,2021-07-16,1.016,1.026,1.003,1.004,6457509
15,2021-07-19,1.003,1.006,0.991,1.002,5361271
16,2021-07-20,1.002,1.002,0.98,0.99,8037655
17,2021-07-21,0.994,1.011,0.992,1.008,12601960
18,2021-07-22,1.008,1.018,1.008,1.012,10650724
19,2021-07-23,1.018,1.018,0.983,0.987,5561918
20,2021-07-26,0.988,0.993,0.949,0.96,5423902
21,2021-07-27,0.965,0.975,0.95,0.95,3486803
22,2021-07-28,0.95,0.958,0.916,0.925,3695301
23,2021-07-29,0.928,0.949,0.928,0.943,3315903
24,2021-07-30,0.942,0.954,0.935,0.954,2546531
25,2021-08-02,0.955,0.975,0.946,0.973,4099111
26,2021-08-03,0.973,1.0,0.973,0.99,10742331
27,2021-08-04,0.99,0.997,0.982,0.997,7284107
28,2021-08-05,0.996,0.996,0.971,0.976,4282511
29,2021-08-06,0.976,0.976,0.963,0.968,1984403
30,2021-08-09,0.969,0.989,0.967,0.986,4150460
31,2021-08-10,0.986,0.993,0.978,0.992,3522851
32,2021-08-11,0.992,0.992,0.978,0.98,2079113
33,2021-08-12,0.978,0.996,0.977,0.98,2960225
34,2021-08-13,0.979,0.979,0.953,0.956,4394646
35,2021-08-16,0.95,0.958,0.95,0.952,1417702
36,2021-08-17,0.952,0.953,0.93,0.932,2524618
37,2021-08-18,0.936,0.938,0.922,0.936,3006400
38,2021-08-19,0.942,0.949,0.941,0.942,2366811
39,2021-08-20,0.94,0.95,0.928,0.937,2335515
40,2021-08-23,0.939,0.967,0.939,0.966,4052606
