,date,open,high,low,close,volume
0,2021-07-20,0.962,0.985,0.956,0.985,36294995
1,2021-07-21,0.997,1.036,0.991,1.028,124646000
2,2021-07-22,1.03,1.04,1.01,1.034,45504700
3,2021-07-23,1.032,1.056,1.02,1.026,58270700
4,2021-07-26,1.021,1.036,0.982,1.015,52730695
5,2021-07-27,1.015,1.037,0.945,0.956,59364300
6,2021-07-28,0.959,0.975,0.917,0.961,26370400
7,2021-07-29,0.976,1.03,0.976,1.026,58348200
8,2021-07-30,1.034,1.058,1.017,1.028,65206300
9,2021-08-02,1.039,1.073,1.012,1.038,50449500
10,2021-08-03,1.04,1.043,0.989,1.0,47553200
11,2021-08-04,0.994,1.077,0.994,1.076,122668100
12,2021-08-05,1.071,1.077,1.048,1.071,33013500
13,2021-08-06,1.094,1.131,1.087,1.104,55526900
14,2021-08-09,1.084,1.084,1.037,1.072,50131000
15,2021-08-10,1.065,1.089,1.023,1.051,53454600
16,2021-08-11,1.047,1.083,1.036,1.073,44595100
17,2021-08-12,1.071,1.085,1.051,1.076,29946900
18,2021-08-13,1.065,1.113,1.062,1.069,39768000
19,2021-08-16,1.05,1.067,1.013,1.02,51163100
20,2021-08-17,1.015,1.032,0.997,1.002,38540500
21,2021-08-18,1.004,1.027,0.991,1.001,36865500
22,2021-08-19,0.998,1.042,0.987,1.031,53648100
23,2021-08-20,1.025,1.045,1.013,1.03,25416500
24,2021-08-23,1.028,1.053,1.018,1.049,30869300
